	Macro.c08.NLRP3	Macro.c07.LYVE1	Macro.c05.INHBA	Macro.c01.C1QC	Macro.c03.GPNMB	Macro.c04.IL1B	Macro.c02.FN1	Macro.c06.ISG15	Macro.c09.SPP1
DKC1	0.081709948	0.093305445	0.073420058	0.09528616	0.115887372	0.09976089	0.103664363	0.112172432	0.079911657
DKK1	0	0.000189289	0	0.002375487	0.01108901	0.005582567	0.000679341	0	0
DKK2	0.000365242	0.003250826	0.000832555	0.003197556	0.003137719	0.001155413	0.002697363	0.003039112	0.000377136
DKK3	0.000113638	0.002177973	0	0.000528727	0.000549239	0.000936977	0.000792766	0	0
DLAT	0.012822442	0.038854832	0.023146597	0.036385692	0.037835286	0.027334229	0.020189054	0.034444151	0.044266
DLC1	0.013697149	0.025712992	0.011813472	0.011471425	0.008140153	0.013883293	0.009368815	0.013792163	0.018130337
DLD	0.073375249	0.11325199	0.102432463	0.123843376	0.166561493	0.111948156	0.130956228	0.151386466	0.114166034
DLEC1	0.006387228	0.007007139	0.007625568	0.006515877	0.006175565	0.004489663	0.007895232	0.008919584	0.004722347
DLEU1	0.002597343	0.004329267	0.007278435	0.00731708	0.009590258	0.007374525	0.008464093	0.003780196	0.009021032
DLEU2	0.06544549	0.051437865	0.054516841	0.053824421	0.050386227	0.048309698	0.035981789	0.100158069	0.036323839
DLEU7	0.013222983	0.014734545	0.023961779	0.026080099	0.015763852	0.018034612	0.010623344	0.007032852	0.023909681
DLG1	0.031741596	0.049715057	0.029083526	0.036309621	0.030048022	0.029109854	0.028720636	0.034437363	0.030828219
DLG2	0	0.001112796	0	0.000793394	0	0.001234982	0	0	0
DLG3	0.000839514	0.000880911	0.004201728	0.00069273	0.000484207	0.000536139	0.000381447	0	0.000189158
DLG4	0.035064876	0.042766826	0.020192109	0.03111798	0.011475892	0.015872811	0.016630072	0.015200441	0.043085446
DLG5	0.002394043	0.004693079	0.00175727	0.002551712	0.000810485	0.001664808	0.00123753	0.003003116	0.003327647
DLGAP1	0.001533422	0.000945442	0.000307006	0.000338546	0.0016312	0.001813127	0.0003665	0	0.003239541
DLGAP3	0.040979758	0.097628035	0.046836562	0.053766687	0.051522981	0.038804125	0.047286183	0.051948882	0.039599579
DLGAP4	0.102366656	0.106250378	0.139200443	0.110497868	0.116323823	0.09404592	0.110306188	0.153704171	0.129429696
DLGAP5	0	0	0.001251356	0.0021473	0.002300383	0.000633396	0.001254894	0	0.001081694
DLK2	0	0	0	0	0.000238013	0.000218704	0	0	0
DLL1	0.00432237	0.004147601	0.015644422	0.006145946	0.000443127	0	0.002530553	0.018469127	0.003401989
DLL3	0	0.000272482	0.000279964	0.002589538	0.00172026	0.000633836	0	0	0.000894292
DLL4	0	0.001088848	0.001400232	0.000947132	0.001447323	0.002857305	0.000635484	0	0.000155876
DLST	0.124114307	0.120285728	0.110088599	0.116447916	0.124625176	0.109350637	0.1035143	0.136205925	0.125988908
DLX2	0.006703923	0.018240211	0.020854534	0.011480063	0.005969742	0.0178042	0.012575767	0.005625383	0.008806532
DLX4	0.001137319	0.000443175	0	0.000344474	0.000238594	0.000221718	0.000921843	0	0.000689184
DLX5	0	0	0	0.000147626	0.000511497	0.001269995	0	0	0
DMAP1	0.043874052	0.089127238	0.052524708	0.097226639	0.085162034	0.094773856	0.076109723	0.078353388	0.082742088
DMC1	0.000411202	0.000244834	0.01147017	0.001608216	0.002241349	0.004951827	0.001466886	0.001809617	0.000714169
DMD	0	0.063972376	0.010222793	0.029224807	0.0136546	0.028762015	0.005303819	0.005410039	0.000726083
DMGDH	0.005982249	0.009157108	0.003003775	0.002898449	0.003476975	0.005202128	0.003922589	0.002117783	0.003664265
DMKN	0.000294411	0.000849472	0.002488946	0.002964637	0	0.00171517	0.000441348	0	0.000638272
DMPK	0.000635334	0.003636534	0.000611184	0.001142568	0	0.000791606	0	0.001486288	0
DMTF1	0.051940469	0.086924235	0.046583057	0.061422075	0.053292141	0.046507589	0.036861756	0.059234679	0.056481084
DMTN	0	0.001313702	0.000266772	0.000218489	0.000592501	0.001006519	0.001341199	0	0.000619468
DMWD	0.002747291	0.003598797	0.002627071	0.002032493	0.001418363	0.00022887	0.000369903	0.010272452	0.000910381
DMXL1	0.073716301	0.125271084	0.081738682	0.10621925	0.085020732	0.078644263	0.08576243	0.0849494	0.101505652
DMXL2	0.466333292	0.235880399	0.219969506	0.277341685	0.146975936	0.126676848	0.164141837	0.441583746	0.428072601
DNA2	0.001243191	0.003479653	0.002160743	0.00214528	0.001428907	0.00106835	0.001049576	0.000785818	0.001684388
DNAAF1	0.525487728	0.075355982	0.17807197	0.068897659	0.095583185	0.165620057	0.475868152	0.33304045	0.155365313
DNAAF2	0.01724615	0.051475493	0.028016768	0.047265323	0.061173735	0.048091277	0.039264749	0.03370036	0.035799513
DNAAF5	0.007788291	0.01690853	0.004690843	0.016538929	0.015235992	0.015617634	0.009957872	0.010789692	0.015386643
DNAH1	0.018131077	0.027938676	0.007799578	0.017740432	0.008251976	0.016512799	0.011887515	0.008745445	0.019601169
DNAH10	0	0	0	0.000112956	0	0.000595516	0	0.000763413	0.000133664
DNAH10OS	0	0	0	0.000176243	0	0.000264161	0	0	0
DNAH11	0.00130821	0.004221914	0.002913773	0.002571679	0.003937191	0.002904365	0.001541397	0.00072022	0.003073183
DNAH14	0.000216638	0.000867649	0.000807127	0.002293224	0.004519879	0.002182447	0	0.001774248	0.001336568
DNAH17	0.091019272	0.011586328	0.051743384	0.021058152	0.008534318	0.007302901	0.035643365	0.030165242	0.039425208
DNAH2	0	0.000370529	0	0	0	0	0	0	0.000178697
DNAH3	0	0	0	0.000382102	0.000564351	0.000218326	0	0	0
DNAH6	0	0.000398367	0	0	0.000533458	0.000253441	0	0	0
DNAH7	0	0	0	0	0	0	0.000425217	0	0
DNAI2	0.001757074	0.001720564	0.009358289	0.001465436	0.001293805	0.002702201	0.002338028	0.003066172	0.001319985
DNAJA1	1.293794545	1.448214725	1.434964387	1.081449079	1.148059436	1.593713695	1.017565492	1.41102485	1.34945294
DNAJA2	0.245472693	0.240941764	0.252683233	0.26193667	0.342362708	0.293199969	0.310400069	0.330945262	0.309301099
DNAJA3	0.013938481	0.045047217	0.027508954	0.040743624	0.047563369	0.041445899	0.034677689	0.041228461	0.026142379
DNAJA4	0.072069102	0.249723498	0.311857061	0.269469395	0.116597021	0.126231831	0.109147053	0.117823039	0.182465603
DNAJB1	0.558015728	2.094346656	1.544413146	1.48114117	1.388135453	2.071666204	0.936607802	0.994123467	1.237397556
DNAJB11	0.285897099	0.29016096	0.2926658	0.290381083	0.323651826	0.26146353	0.250562643	0.401479822	0.274815099
DNAJB12	0.211953909	0.213095515	0.175203679	0.227928709	0.274849294	0.237731437	0.236359873	0.241595148	0.222876712
DNAJB14	0.078676944	0.151267211	0.096762022	0.144695742	0.146938855	0.1209976	0.094424629	0.155235157	0.11062764
DNAJB2	0.101639544	0.123397967	0.104285741	0.125662217	0.11590876	0.111170211	0.102242203	0.08971202	0.143092294
DNAJB4	0.05355071	0.289300025	0.34679201	0.238814206	0.160000318	0.286326168	0.093600733	0.119510309	0.161500112
DNAJB5	0.044582045	0.030024455	0.042970174	0.026244882	0.045466836	0.027302985	0.046307872	0.026837095	0.037998162
DNAJB6	0.749081139	0.859807839	0.91594908	0.81513576	0.747539948	0.876724988	0.707992291	0.80712209	0.841062647
DNAJB9	0.261021658	0.201359145	0.23766955	0.169134803	0.224874418	0.276878861	0.227481465	0.262309949	0.207832311
DNAJC1	0.236870652	0.205488965	0.23437141	0.219780274	0.222436318	0.225433125	0.239333269	0.250213643	0.237797446
DNAJC10	0.10544689	0.133328782	0.116631847	0.137350396	0.112851009	0.101915956	0.115520614	0.148282846	0.111664556
DNAJC11	0.027716448	0.048455502	0.032311262	0.052770627	0.054891374	0.04665397	0.052742113	0.046424668	0.044647356
DNAJC12	0.000610695	0.001357757	0.003205855	0.006242047	0.015122078	0.004276431	0.005081833	0.002212039	0.002646869
DNAJC13	0.048768394	0.119656383	0.076860451	0.101167131	0.09669183	0.080567722	0.070312879	0.139684931	0.065286481
DNAJC14	0.034964444	0.072885307	0.060462276	0.068950923	0.059683751	0.062593078	0.047090074	0.054317917	0.063600653
DNAJC15	0.496267732	0.426809995	0.457783122	0.469157653	0.598261049	0.478343376	0.574247038	0.765997528	0.522985343
DNAJC16	0.01326854	0.029859497	0.015426512	0.032236233	0.035338314	0.023818077	0.01932889	0.022962134	0.021550653
DNAJC17	0.043632999	0.068375643	0.073323267	0.080843379	0.080590371	0.062205984	0.057189311	0.052814023	0.054920046
DNAJC18	0.008219248	0.014723118	0.011383596	0.019705902	0.021752477	0.018870384	0.008246931	0.008552858	0.01535384
DNAJC19	0.088606042	0.172494386	0.130839286	0.183085418	0.211094506	0.157571289	0.150686066	0.131006413	0.141886028
DNAJC2	0.143763846	0.169983161	0.123715035	0.146229628	0.198947779	0.151635174	0.152412036	0.206679551	0.171621304
DNAJC21	0.097066008	0.096658032	0.068815972	0.094514613	0.142497821	0.135855421	0.143900844	0.139104815	0.091960825
DNAJC24	0.018041637	0.033931201	0.026739135	0.035084707	0.039573211	0.029612323	0.020300376	0.025702065	0.029485475
DNAJC25	0.028764331	0.038278406	0.029819868	0.03671432	0.028176792	0.020845647	0.026679319	0.043640276	0.038117358
DNAJC27	0.014817703	0.020746845	0.026374872	0.019592733	0.022808213	0.017355134	0.016486125	0.019628269	0.017086425
DNAJC28	0.000710203	0.003705595	0.001225315	0.005213519	0.00606344	0.003521592	0.000380855	0.000591502	0.001476249
DNAJC3	0.335407276	0.322902118	0.32125162	0.323164753	0.378227709	0.328062222	0.295687598	0.476349117	0.345680811
DNAJC30	0.014609383	0.030225495	0.018696033	0.045490774	0.043055472	0.027625634	0.033181637	0.029959046	0.030918546
DNAJC4	0.317374023	0.232672725	0.291274556	0.303154273	0.3484023	0.364060462	0.360005375	0.250831706	0.300004706
DNAJC5	0.140829144	0.122315457	0.094923282	0.125739999	0.101342875	0.060718854	0.080971353	0.149707846	0.116255691
DNAJC5B	0.005045529	0.015016174	0.008560965	0.042963348	0.038720079	0.025079427	0.008935855	0.014083991	0.088400886
DNAJC6	0.000749146	0.000721152	0.001247892	0.000142051	0.00057837	0.001331468	0.000510213	0.002141552	0.003038163
DNAJC7	0.252888174	0.235246556	0.261768583	0.266989593	0.285738131	0.23884923	0.291391817	0.401014215	0.2605339
DNAJC8	0.396765919	0.362586922	0.407295738	0.440602794	0.497619831	0.356514251	0.472562664	0.579343121	0.453967943
DNAJC9	0.011830646	0.048623418	0.027600619	0.059956821	0.073395418	0.048567767	0.03983683	0.038952271	0.046956625
DNAL1	0.007450292	0.017855134	0.01350376	0.021388073	0.023253225	0.01455467	0.01403752	0.008883091	0.020006385
DNAL4	0.011929103	0.023364969	0.015794739	0.028042182	0.024019451	0.028133253	0.021364655	0.009732153	0.027254353
DNALI1	0	0	0	0	0.000816701	0.000900438	0.000944086	0	0
DNASE1	0.008725655	0.01792395	0.008008046	0.011259823	0.010479747	0.010063257	0.009432671	0.011346188	0.011905387
DNASE1L1	0.099175472	0.140137412	0.106193703	0.140974229	0.137908966	0.138129607	0.105560494	0.11879611	0.088599815
DNASE1L2	0.000265763	0.000714941	0	0.000278165	0.000470668	0.000325972	0	0	0.000592842
DNASE1L3	0.000655215	0.018077372	0.00586973	0.088765087	0.036149662	0.02896195	0.005780793	0.001814342	0.001620621
DNASE2	0.076987635	0.108895046	0.167319802	0.35110954	0.411101799	0.256648233	0.33018775	0.190323802	0.277401141
DNASE2B	0.000249677	0.008345276	0	0.004312508	0.010848451	0.01271943	0.001984418	0.001779717	0.001906555
DNER	0.003170543	0.002156394	0.003284753	0.001552651	0	0.000861637	0	0.00074265	0.001913353
DNHD1	0.011322009	0.010757645	0.01052671	0.009274316	0.003281778	0.006968017	0.00912295	0.002435988	0.014299449
DNLZ	0.044148707	0.023644427	0.016482214	0.028844689	0.062148554	0.044448723	0.060103884	0.056080202	0.060239949
DNM1	0.002724008	0.034543855	0.007080388	0.007059068	0.000843523	0.003705216	0.000827032	0.001486288	0.005773586
DNM1L	0.146840576	0.152551135	0.13565744	0.135088427	0.136294963	0.145762184	0.139982513	0.187699899	0.139441837
DNM1P35	0.001444647	0.006169427	0.004666753	0.004031337	0.006140412	0.005364322	0.004964097	0.002789404	0.003016569
DNM2	0.349763679	0.296015755	0.295912881	0.341288842	0.333997648	0.294898807	0.331015473	0.380546002	0.312318935
DNM3	0.000214395	0.003410227	0.000746261	0.002230644	0.00312186	0.002606107	0.00407486	0.000879569	0.000758427
DNMBP	0.171575256	0.117115249	0.039046532	0.062750453	0.075115823	0.058873652	0.160856858	0.091434751	0.139831639
DNMT1	0.110751633	0.223843849	0.275965731	0.324007184	0.387688124	0.257412539	0.265145781	0.302240318	0.174128799
DNMT3A	0.032876977	0.053801917	0.02371238	0.057602152	0.050250624	0.045858006	0.041449843	0.039924644	0.046916719
DNMT3B	0.000205071	0.002530398	0.001148791	0.000959788	0.00278039	0.003861721	0.00037997	0	0.000123131
DNPEP	0.10821621	0.142321078	0.103118288	0.161282084	0.17886015	0.160340728	0.165708068	0.260846251	0.152652011
DNPH1	0.145837316	0.255419234	0.134998093	0.443769886	0.401582158	0.228882134	0.232489271	0.415918593	0.288067023
DNTTIP1	0.099295233	0.108067275	0.119399846	0.140127429	0.190021028	0.129255644	0.158134166	0.132998233	0.119284844
DNTTIP2	0.725080801	0.359264595	0.396720201	0.316734094	0.36111895	0.321461748	0.450806734	0.529116799	0.433531316
DOC2A	0.001669655	0.025739828	0.003785221	0.017442555	0.01493167	0.022419848	0.013944541	0.001075489	0.005270526
DOC2B	0	0.000409913	0	0.000169088	0	0.00025023	0.00035975	0	0
DOCK1	0.009454606	0.037335223	0.027580626	0.040077982	0.03330776	0.040159532	0.029373129	0.027034166	0.020799813
DOCK10	0.279573127	0.208077022	0.350556468	0.271356108	0.25527318	0.283752338	0.292133541	0.282319418	0.39095436
DOCK11	0.140915154	0.218319748	0.076824104	0.137875022	0.097243939	0.097664348	0.101721437	0.129756105	0.099454322
DOCK2	0.357185492	0.321405971	0.260459416	0.298480569	0.265376717	0.272676666	0.315452521	0.326946168	0.235592594
DOCK3	0	0.00062308	0	0.000393111	0.000697438	0	0	0	0.000160681
DOCK4	0.16492713	0.278772259	0.434963558	0.402578703	0.440232906	0.495221381	0.358534095	0.290894459	0.301550307
DOCK5	0.213378473	0.131720242	0.091012498	0.098075688	0.117327828	0.12674616	0.160686888	0.118544656	0.183213261
DOCK6	0.001074966	0.005106981	0	0.000490588	0.000217842	0.000231392	0.000812389	0.001835691	0.003367654
DOCK7	0.035447781	0.07845982	0.05081296	0.076972846	0.082710365	0.066352008	0.03964339	0.059255861	0.07585478
DOCK8	0.505816106	0.375931274	0.599328071	0.454058836	0.493981604	0.538040918	0.649047151	0.609621425	0.464866344
DOCK9	0.000389366	0.001807061	0	0.002121479	0.001488166	0.001868092	0	0	0.000983479
DOHH	0.022358143	0.044530862	0.034499003	0.04931587	0.046850714	0.038193877	0.033643327	0.054147514	0.060476783
DOK1	0.028969268	0.140513558	0.072554956	0.144227575	0.136202539	0.111945075	0.064525299	0.072867987	0.069374028
DOK2	0.234761572	0.400187842	0.406030994	0.421684398	0.357638716	0.269690624	0.292471033	0.448695798	0.313816932
DOK3	0.247444579	0.109033592	0.137985646	0.159140353	0.125401279	0.066687045	0.090449047	0.211121306	0.191447226
DOK4	0	0.000361288	0	0.0003738	0.002287402	0.001716473	0.001243624	0	0.000489
DOK5	0	0.002731869	0.008547204	0.013900468	0.005272558	0.008633699	0.003463632	0.003647126	0.001960834
DOLK	0.012128608	0.019181151	0.012274491	0.023057983	0.015520702	0.012421921	0.013031312	0.009961814	0.02101069
DOLPP1	0.003036992	0.015519341	0.006744858	0.014112198	0.016272558	0.011307212	0.002658684	0.010621634	0.005897217
DONSON	0.01751514	0.033703401	0.020549044	0.028498138	0.027903615	0.025850502	0.016953847	0.023316698	0.019795922
DOT1L	0.217218106	0.085310746	0.12921475	0.077515293	0.03829168	0.049807581	0.066482353	0.151081881	0.147596658
DPAGT1	0.041243453	0.082479255	0.080558681	0.107128439	0.112264998	0.098813061	0.076891137	0.086160745	0.072603605
DPCD	0.020794714	0.011218185	0.0233008	0.028744682	0.032666226	0.016015734	0.029318739	0.036718126	0.062631858
DPEP1	0	0.001631524	0	0	0.000209436	0.000421992	0	0	0
DPEP2	0.15823003	0.137159746	0.117659912	0.138660254	0.176077186	0.187022614	0.19522683	0.03871158	0.201776887
DPEP3	0.000798633	0.006823126	0	0.00937655	0.00165946	0.001852507	0.000327683	0	0.002852314
DPF2	0.035877854	0.06464672	0.040818584	0.079876904	0.085009959	0.058177526	0.067278351	0.060133623	0.070974122
DPF3	0	0.000457375	0.0006444	0.000628109	0.001394729	0	0.000396942	0	0
DPH1	0.024820709	0.052283904	0.026132698	0.051874409	0.066007337	0.052876382	0.053222313	0.041962123	0.046417429
DPH2	0.013505272	0.025891276	0.024905694	0.026589521	0.03041333	0.022778443	0.032782463	0.034730306	0.026584174
DPH3	0.25790075	0.187921574	0.211557461	0.194582863	0.20898328	0.154745516	0.194450004	0.343420129	0.296651825
DPH5	0.023591877	0.035834442	0.026738401	0.036635136	0.049205186	0.064994171	0.047364465	0.022365785	0.021529062
DPH6	0.030967744	0.061932631	0.04755979	0.065327651	0.066468909	0.05802364	0.047637149	0.052701018	0.041334712
DPH7	0.010186146	0.0504177	0.02062936	0.039640145	0.042483615	0.041766221	0.028202971	0.029610563	0.034866904
DPM1	0.110671638	0.098597708	0.08971143	0.095836789	0.099324347	0.08846241	0.100761066	0.11091746	0.118539681
DPM2	0.062950178	0.123135249	0.090188302	0.166166044	0.166540612	0.112963668	0.114030233	0.157116272	0.152130905
DPM3	0.219685799	0.155728768	0.169668635	0.202293702	0.223608569	0.16035424	0.21163358	0.235318833	0.197798032
DPP3	0.066942004	0.045921637	0.076802132	0.07721114	0.093646926	0.061349909	0.074401176	0.107933413	0.077710345
DPP4	0.000428173	0.001965487	0.006542061	0.007839346	0.002626825	0.003540022	0.001079672	0.001914322	0.00912631
DPP7	0.425520868	0.623670329	0.440731579	0.771321034	0.694422497	0.598433145	0.557046588	0.542643485	0.755263167
DPP8	0.06454234	0.09833796	0.066771026	0.080228476	0.081116668	0.0735657	0.077466237	0.100480749	0.077471983
DPP9	0.074269281	0.109883468	0.083497648	0.121660214	0.120931224	0.101871086	0.097110239	0.124451803	0.096982192
DPPA4	0.000401539	0.000760598	0.000218401	0	0.000668104	0.000193534	0.000386532	0.000752793	0
DPT	0	0.005459899	0	6.18E-05	0	0	0	0	0
DPY19L1	0.02034351	0.028186031	0.014453442	0.023033882	0.01281317	0.012371672	0.021079097	0.014286275	0.016644972
DPY19L2	0	0.000579105	0	0	0.000265287	0	0.000902287	0	0
DPY19L3	0.012317045	0.017425652	0.006654703	0.020886327	0.012904956	0.009818286	0.011671582	0.008373326	0.013025478
DPY19L4	0.009024669	0.031861725	0.01422574	0.030404144	0.029423659	0.026198754	0.019268562	0.022221843	0.019621469
DPY30	0.116514807	0.162215082	0.142669903	0.227516892	0.19719981	0.168808314	0.190549594	0.168346147	0.215013441
DPYD	0.487273445	0.327630444	0.36495708	0.351569815	0.342194083	0.347377297	0.37594335	0.459542057	0.407022622
DPYS	0	0.001645014	0.001029136	0.001352225	0.002803067	0.004619373	0.000925436	0.000975355	0.002613716
DPYSL2	0.199293164	0.34903784	0.230278148	0.298485279	0.237409049	0.269490405	0.240480928	0.315193851	0.174185542
DPYSL3	0.006935457	0.027310803	0.006338839	0.006437718	0.002845776	0.00281089	0.015087344	0.004579715	0.022306001
DPYSL4	0	0.000541955	0	0.00060367	0.000854762	0	0.000907056	0	0.002972135
DR1	0.108961823	0.123247881	0.128004296	0.128429579	0.14997117	0.108062044	0.113728862	0.162270124	0.13375414
DRAM1	0.315549199	0.265228312	0.390319726	0.287907923	0.203110071	0.25696228	0.20817201	0.685091696	0.363929831
DRAM2	0.204666023	0.490502035	0.272369583	0.510839318	0.485190479	0.524541425	0.352285891	0.316236778	0.447019999
DRAP1	0.657588074	0.583619047	0.789939125	0.842503775	0.92763311	0.71872153	0.884222455	1.193983914	0.817227829
DRAXIN	0.001880048	0.000989669	0.003415749	0.00225865	0.003150331	0.000907228	0	0.001412712	0.002594574
DRC3	0.000243265	0.000195234	0	0.000160191	0.000510949	0.000202413	0	0	0.000189108
DRC7	0	0.000793007	0	7.12E-05	0.001055179	0.000403457	0.000835916	0	0
DRD2	0	0	0	0.000156088	0	0	0	0	0
DRD4	0.003333935	0.001748432	0.002873473	0.003584786	0.006324459	0.002898301	0.009817793	0.003638372	0.002372915
DRG1	0.083009815	0.1130504	0.100030148	0.128033638	0.144441523	0.104291443	0.128975583	0.154311291	0.113894208
DRG2	0.073479587	0.085137273	0.072192765	0.095836745	0.094387264	0.080171329	0.096650149	0.099278743	0.09022577
DRGX	0.000812094	0.000468478	0.003974236	0.000193038	0.001755172	0.000195218	0.001619697	0.005379104	0.000889212
DRICH1	0	0.001031327	0	0	0	0.000501728	0	0	0
DROSHA	0.016439528	0.033416509	0.02926509	0.035634192	0.039492286	0.032693701	0.027648393	0.026011344	0.023916267
DSC2	0.122341212	0.280970523	0.153557952	0.241209995	0.188705014	0.204271637	0.127994612	0.120631422	0.228998883
DSCAML1	0	0	0	0	0	0	0	0	0
DSCAS	0	0.001330427	0	0.000182544	0.000563303	0.000323138	0	0	0
DSCC1	9.86E-05	0.003329837	0.001061048	0.002976574	0.00398889	0.003265313	0.000386532	0.001403154	0.001467078
DSCR8	0	0	0	0.000311729	0	0	0	0	0
DSCR9	0.000410789	0.000967236	0.001496835	0.000620673	0.002507363	0.000521561	0.000526996	0.001486822	0.000198071
DSE	0.809919749	0.616360054	0.944052611	0.609737165	0.560285598	0.699941845	0.591308695	0.804490313	0.7611051
DSEL	0.001500638	0.020481383	0.006213712	0.00996149	0.006479588	0.014235866	0.004335164	0.003074607	0.005335879
DSG2	0.000137634	0.00036892	0.000211562	0.000527213	0.000198264	0.000558596	0.000669329	0	0.000220332
DSN1	0.006747181	0.036666468	0.016106085	0.030631402	0.02520443	0.029353054	0.022292259	0.013742874	0.022677334
DSP	0.000996006	0.002419092	0.002725999	0.002928892	0.000311548	0.000938296	0	0.003474979	0.001907783
DST	0.042262134	0.218715701	0.177385841	0.215799783	0.201045176	0.244103559	0.11779165	0.063945305	0.089371236
DSTN	0.158619543	0.292100971	0.227700905	0.298615459	0.252868184	0.190467606	0.159057381	0.209955476	0.320752533
DSTYK	0.014233354	0.039582188	0.016689767	0.028674807	0.019725662	0.019627413	0.017142807	0.024693589	0.037492314
DTD1	0.08372541	0.116686469	0.108318905	0.14009811	0.138375942	0.111963738	0.118290455	0.129532543	0.12672076
DTD2	0.01066542	0.014755257	0.014704513	0.016291676	0.014841729	0.01565228	0.012655357	0.014599587	0.009933644
DTHD1	0.000621149	0.000376341	0.000244456	0.000293304	0.000746433	0.000649619	0.000966121	0	0
DTL	0.000747336	0.000526352	0.00054212	0.001269722	0.002093277	0.001909214	0.000802102	0	0.000660841
DTNA	0.008258381	0.121394883	0.072769046	0.076402348	0.057500478	0.071637109	0.042469086	0.011124145	0.020533732
DTNB	0.013495719	0.049475012	0.046077199	0.068610239	0.048738807	0.036007984	0.029770559	0.036937642	0.051730365
DTNBP1	0.045637636	0.095041706	0.074119196	0.118286956	0.121118936	0.113380948	0.075205474	0.145849662	0.066922473
DTWD1	0.016507618	0.076481334	0.042617836	0.062687645	0.064940522	0.056936802	0.037669753	0.038842599	0.058627559
DTWD2	0.00742955	0.018993879	0.017389343	0.029355217	0.034387193	0.026714029	0.0184886	0.014335921	0.014152589
DTX1	0	0.001252235	0	0.00261992	0.001734313	0.000968963	0	0	0.000154763
DTX2	0.059838332	0.124776258	0.096060802	0.11254994	0.097842754	0.088753629	0.061999974	0.095058607	0.093389581
DTX3	0.001444064	0.005819403	0.009528042	0.009627932	0.008287244	0.008265289	0.001722792	0.001004087	0.002812359
DTX3L	0.064544527	0.100318477	0.086021269	0.125849455	0.087388336	0.061563335	0.050750798	0.271448912	0.088658792
DTX4	0.001872651	0.003677005	0.001328276	0.001477296	0.001303139	0.001110388	0.001197731	0	0.00095815
DTYMK	0.042852148	0.05886066	0.05309851	0.086604993	0.095847522	0.059055752	0.086869968	0.095136433	0.083379099
DUBR	0.000271504	0.002826167	0.000961529	0.003010752	0.001484751	0.002905387	0.002460382	0	0.000876562
DUOX1	0	0.000741642	0	0	0	0	0.000437027	0	0
DUOX2	0.000141851	0	0	0	0	0	0	0	0.000178659
DUOXA1	0	0.000894354	0	0.000132485	0	0.000685772	0	0	0.000350382
DUOXA2	0	0	0	0	0	0	0	0	0
DUPD1	0	0	0	0.00017923	0.000736811	0.00083951	0.000899688	0	0
DUS1L	0.051566015	0.05705794	0.028961564	0.058732644	0.040827019	0.032739396	0.052190924	0.036124841	0.053007809
DUS2	0.012722427	0.014510906	0.010753861	0.020338694	0.020009386	0.013142623	0.02029075	0.019083457	0.014155432
DUS3L	0.051562809	0.093331813	0.070257071	0.083980492	0.101374571	0.090933047	0.084406378	0.094433575	0.074917962
DUS4L	0.007797052	0.016593291	0.014555982	0.021534813	0.021654119	0.022901927	0.012234887	0.01158777	0.01558739
DUSP1	2.780776874	3.018681599	2.667032714	2.322127146	2.299087725	3.187039725	2.751601062	2.379650071	2.557943702
DUSP10	0.048185773	0.123189015	0.118873972	0.107266112	0.096491968	0.1628466	0.089774688	0.11720318	0.117856968
DUSP11	0.029809622	0.077878869	0.048899914	0.088554033	0.093316077	0.061794066	0.050596846	0.075910236	0.093860618
DUSP12	0.032516194	0.071117707	0.042076284	0.076363847	0.072166237	0.046700392	0.048486195	0.046843582	0.052722543
DUSP14	0.008931305	0.022730526	0.027560751	0.025158771	0.036268213	0.037750101	0.022314448	0.011432103	0.022562915
DUSP15	0.000145659	0.013255089	0.001495998	0.008140511	0.007991185	0.012015335	0.001217726	0.000728415	0.003981796
DUSP16	0.056143251	0.04975109	0.034533746	0.048372039	0.049232894	0.052737763	0.043135452	0.030759217	0.059744459
DUSP18	0.05976919	0.036049794	0.046554936	0.043603126	0.042306378	0.032654038	0.042247591	0.06967126	0.053470667
DUSP19	0	0.003504795	0	0.001295852	0.002138562	0.001964191	0.001234691	0	0
DUSP2	1.841414348	1.319230082	2.064570932	1.241338765	0.960437778	2.005548288	1.672139114	1.705572226	1.6752919
DUSP22	0.172402645	0.181694105	0.165776076	0.163318251	0.151464834	0.167827959	0.163621001	0.17319813	0.140278511
DUSP23	0.224921467	0.274392359	0.252858997	0.395846454	0.443720482	0.340150291	0.470861272	0.32122538	0.337922695
DUSP27	0	0.004562798	0.002167282	0.003000587	0.002071931	0.00319081	0	0	0.000157058
DUSP28	0.055510254	0.039300577	0.044534783	0.048135122	0.057111096	0.057334765	0.063665667	0.043455914	0.050955234
DUSP3	0.211410569	0.265379305	0.264792146	0.288729168	0.240475925	0.184873912	0.16975209	0.334217904	0.272576156
DUSP4	0.315042649	0.154629487	0.366675158	0.143417112	0.324973891	0.286614768	0.406143406	0.356642591	0.370302625
DUSP5	0.300569892	0.29416884	0.471943615	0.203444571	0.198676972	0.442339481	0.199345858	0.475373799	0.326370807
DUSP6	0.960617148	0.48230963	0.40741643	0.302748113	0.167122474	0.311702445	0.257601054	0.60327412	0.533383705
DUSP7	0.011418592	0.021630362	0.010187884	0.015075621	0.008807369	0.009947758	0.007040017	0.01807882	0.01261148
DUSP8	0.012110759	0.020462694	0.020542039	0.023377526	0.002918039	0.015914693	0.009274349	0.010981797	0.015778811
DUSP9	0	0.000588677	0	0	0	0	0	0	0
