	NK.c06.CD56brightCD16lo.CREM	NK.c04.CD56brightCD16lo.CCL3	NK.c05.CD56brightCD16lo.IL7R	NK.c03.CD56brightCD16lo.IL7R.RGS1lo	NK.c02.CD56brightCD16lo.GZMH	NK.c13.CD56dimCD16hi.NR4A3	NK.c12.CD56dimCD16hi.DNAJB1	NK.c10.CD56dimCD16hi.NFKBIA	NK.c07.CD56dimCD16hi.IL32	NK.c08.CD56dimCD16hi.CX3CR1	NK.c01.CD56brightCD16hi	NK.c09.CD56dimCD16hi.ZNF90	NK.c11.CD56dimCD16hi.MKI67
FAS	0.140472879	0.137829912	0.03030303	0.119047619	0.177777778	0.064561651	0.101499423	0.077946768	0.084745763	0.039823009	0.12987013	0	0.166666667
FASLG	0.741307371	0.439882698	0.045454545	0.119047619	0.377777778	0.418415946	0.524798155	0.716730038	0.36440678	0.486725664	0.324675325	0.20754717	0.833333333
FASN	0.064904961	0.035190616	0.060606061	0.047619048	0.044444444	0.035103193	0.035371011	0.022813688	0.042372881	0.044247788	0.012987013	0.037735849	0.071428571
FASTK	0.157162726	0.134897361	0.075757576	0.142857143	0.088888889	0.133180455	0.147251057	0.186311787	0.093220339	0.185840708	0.051948052	0.075471698	0.357142857
FASTKD1	0.078813166	0.041055718	0.075757576	0.119047619	0.044444444	0.062268478	0.058439062	0.047528517	0.033898305	0.061946903	0.090909091	0.018867925	0.214285714
FASTKD2	0.119146963	0.085043988	0.090909091	0.214285714	0.088888889	0.070029988	0.06651288	0.076045627	0.059322034	0.079646018	0.051948052	0.018867925	0.119047619
FASTKD3	0.022716736	0.014662757	0.015151515	0	0.022222222	0.017110602	0.023068051	0.043726236	0.008474576	0.030973451	0.064935065	0.018867925	0.071428571
FASTKD5	0.07093185	0.032258065	0.045454545	0	0.044444444	0.060151702	0.044213764	0.05513308	0.050847458	0.053097345	0.012987013	0.056603774	0.023809524
FAT1	0.000463607	0	0	0	0	0	0	0	0	0	0	0	0
FAT2	0	0	0	0	0	0	0	0	0	0	0	0	0
FAT3	0.000463607	0	0.015151515	0	0	0	0	0	0	0	0	0	0
FAT4	0.002318034	0.002932551	0	0	0	0.005644735	0.003460208	0.007604563	0	0.008849558	0.025974026	0	0
FATE1	0	0	0	0	0	0	0	0	0	0	0	0	0
FAU	11.31339824	6.91202346	10.68181818	9.333333333	8.288888889	8.801905098	7.991157247	7.885931559	7.644067797	7.380530973	1.298701299	6.264150943	18.21428571
FAXC	0	0	0	0	0	0	0.000384468	0	0	0	0	0	0.023809524
FAXDC2	0.000927214	0	0	0	0	0	0	0.001901141	0	0	0	0	0
FBF1	0.01483542	0.014662757	0.015151515	0.023809524	0.044444444	0.028400071	0.033064206	0.015209125	0.016949153	0.026548673	0.038961039	0.018867925	0.071428571
FBL	0.644413537	0.387096774	0.803030303	0.666666667	0.488888889	0.454753925	0.46674356	0.47148289	0.305084746	0.39380531	0.064935065	0.320754717	1.285714286
FBLIM1	0	0	0	0	0	0	0	0	0	0	0	0	0
FBLL1	0	0	0	0	0	0	0	0	0	0	0	0	0
FBLN1	0.001854427	0	0	0	0	0	0	0	0	0	0	0	0
FBLN2	0.000927214	0.002932551	0	0	0	0.00776151	0.00768935	0.001901141	0	0.004424779	0	0	0
FBLN5	0.013908206	0.023460411	0.015151515	0.142857143	0	0.002116775	0.004229143	0.001901141	0.008474576	0	0	0	0
FBLN7	0.002318034	0	0.015151515	0	0	0.000529194	0	0	0	0	0	0	0
FBN1	0.002781641	0	0	0	0	0.000352796	0.000384468	0	0	0	0	0	0
FBN2	0	0	0	0	0	0	0	0	0	0	0	0	0
FBN3	0	0	0	0	0	0	0	0	0	0	0	0	0
FBP1	0.096893834	0.06744868	0.015151515	0.095238095	0.022222222	0.05944611	0.06189927	0.049429658	0.050847458	0.048672566	0.038961039	0.037735849	0.166666667
FBP2	0	0	0	0	0	0	0	0	0	0	0	0	0
FBRS	0.138618452	0.085043988	0.106060606	0.071428571	0	0.085729406	0.084198385	0.096958175	0.084745763	0.075221239	0.012987013	0.056603774	0.166666667
FBRSL1	0.028743625	0.011730205	0.015151515	0	0.044444444	0.026106897	0.018838908	0.020912548	0.008474576	0.013274336	0.051948052	0	0.095238095
FBXL12	0.101066296	0.061583578	0.106060606	0	0.088888889	0.075145528	0.081507113	0.089353612	0.042372881	0.097345133	0.038961039	0	0.19047619
FBXL13	0.000927214	0	0	0.023809524	0	0.000352796	0.000384468	0	0	0	0	0	0
FBXL14	0.007881317	0.014662757	0	0.023809524	0	0.008819898	0.025374856	0.005703422	0.008474576	0.013274336	0	0	0
FBXL15	0.082985628	0.079178886	0.151515152	0.142857143	0.066666667	0.066854824	0.081507113	0.123574144	0.110169492	0.110619469	0.012987013	0	0.238095238
FBXL16	0.004636069	0	0	0	0	0	0	0	0	0.004424779	0	0	0
FBXL17	0.035697728	0.046920821	0.060606061	0.023809524	0.044444444	0.053624978	0.042675894	0.045627376	0.008474576	0.053097345	0.038961039	0.018867925	0.071428571
FBXL18	0.013444599	0	0	0.023809524	0.044444444	0.015699418	0.016916571	0.015209125	0.008474576	0.026548673	0.025974026	0	0.071428571
FBXL19	0.008344924	0.005865103	0.015151515	0	0	0.009701887	0.013071895	0.009505703	0.016949153	0.017699115	0	0	0.071428571
FBXL19-AS1	0.004172462	0.005865103	0	0.023809524	0	0.001940377	0.00153787	0.003802281	0	0.008849558	0.012987013	0	0
FBXL2	0.000463607	0	0	0	0	0	0	0	0	0	0	0	0
FBXL20	0.082522021	0.105571848	0.121212121	0.047619048	0.111111111	0.07585112	0.060745867	0.077946768	0.084745763	0.079646018	0.181818182	0.018867925	0.023809524
FBXL22	0.00880853	0.002932551	0	0	0	0.00599753	0.006920415	0.009505703	0.008474576	0.013274336	0.012987013	0	0.023809524
FBXL3	0.151135837	0.070381232	0.060606061	0.095238095	0.133333333	0.170400423	0.137254902	0.134980989	0.076271186	0.146017699	0.12987013	0.075471698	0.214285714
FBXL4	0.05609643	0.090909091	0.075757576	0.166666667	0.066666667	0.045863468	0.054978854	0.091254753	0.016949153	0.110619469	0.090909091	0	0.071428571
FBXL5	0.248956885	0.175953079	0.363636364	0.238095238	0.177777778	0.240077615	0.240292195	0.275665399	0.254237288	0.305309735	0.207792208	0.150943396	0.619047619
FBXL6	0.07093185	0.058651026	0.075757576	0.071428571	0.133333333	0.048509437	0.062668205	0.066539924	0.059322034	0.066371681	0.025974026	0	0.214285714
FBXL7	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXL8	0.006954103	0.020527859	0	0.023809524	0.022222222	0.00776151	0.011918493	0.017110266	0.008474576	0.008849558	0.038961039	0.018867925	0.047619048
FBXO10	0.000927214	0.002932551	0	0	0	0.002116775	0.00153787	0.001901141	0	0	0.012987013	0	0
FBXO11	0.0945758	0.102639296	0.045454545	0.071428571	0.044444444	0.07496913	0.058439062	0.074144487	0.042372881	0.061946903	0.142857143	0.056603774	0.095238095
FBXO15	0.000927214	0.002932551	0	0	0	0.000705592	0.00153787	0.001901141	0.008474576	0.004424779	0	0	0
FBXO16	0.000463607	0	0	0	0	0	0	0	0	0	0	0	0
FBXO17	0.000463607	0	0	0	0	0	0	0	0	0	0	0	0
FBXO2	0.080667594	0.126099707	0	0	0.022222222	0.040395131	0.041906959	0.047528517	0.025423729	0.066371681	0	0	0
FBXO21	0.187760779	0.093841642	0.136363636	0	0.111111111	0.149056271	0.110342176	0.115969582	0.050847458	0.123893805	0.168831169	0.132075472	0.357142857
FBXO22	0.070004636	0.105571848	0.106060606	0.142857143	0.133333333	0.051155407	0.06805075	0.066539924	0.059322034	0.10619469	0.103896104	0.018867925	0.095238095
FBXO24	0	0.002932551	0	0	0	0	0	0	0	0	0	0	0
FBXO25	0.05470561	0.058651026	0.03030303	0.119047619	0.022222222	0.047803845	0.036524414	0.053231939	0.059322034	0.026548673	0.025974026	0	0.023809524
FBXO27	0.002318034	0	0.015151515	0.023809524	0	0.001058388	0.00153787	0	0	0.008849558	0	0	0
FBXO28	0.096893834	0.102639296	0.015151515	0.095238095	0.111111111	0.075145528	0.091503268	0.05513308	0.042372881	0.066371681	0.12987013	0.018867925	0.142857143
FBXO3	0.13444599	0.082111437	0.166666667	0.071428571	0.133333333	0.122949374	0.109188774	0.127376426	0.042372881	0.150442478	0.051948052	0.132075472	0.238095238
FBXO30	0.036161335	0.038123167	0	0.023809524	0	0.019756571	0.026912726	0.032319392	0.042372881	0.03539823	0.038961039	0	0
FBXO31	0.059341678	0.049853372	0.03030303	0.047619048	0	0.041277121	0.046520569	0.047528517	0.016949153	0.053097345	0.025974026	0.018867925	0.023809524
FBXO32	0.036161335	0.032258065	0.045454545	0.071428571	0.044444444	0.075321926	0.070357555	0.070342205	0.084745763	0.092920354	0.012987013	0.018867925	0.023809524
FBXO33	0.148817803	0.085043988	0.166666667	0.047619048	0.066666667	0.161756924	0.141484045	0.091254753	0.050847458	0.057522124	0.012987013	0.037735849	0.119047619
FBXO34	0.768196569	0.246334311	0.151515152	0.166666667	0.133333333	0.470982537	0.267589389	0.146387833	0.06779661	0.14159292	0.233766234	0.150943396	0.166666667
FBXO36	0.00880853	0.011730205	0.015151515	0	0.022222222	0.002998765	0.00615148	0.005703422	0.008474576	0.013274336	0.012987013	0	0
FBXO38	0.057487251	0.073313783	0.075757576	0.166666667	0.044444444	0.053977774	0.046905037	0.045627376	0.13559322	0.057522124	0.103896104	0	0.119047619
FBXO39	0	0	0.015151515	0	0	0.000176398	0	0	0	0	0	0	0
FBXO4	0.040333797	0.041055718	0.075757576	0.023809524	0.044444444	0.039865938	0.050365244	0.062737643	0.06779661	0.044247788	0.012987013	0.018867925	0.19047619
FBXO40	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXO41	0.011126565	0.002932551	0.045454545	0	0.022222222	0.007232316	0.006535948	0.011406844	0.008474576	0	0.012987013	0.018867925	0.023809524
FBXO42	0.083912842	0.058651026	0.106060606	0.071428571	0.044444444	0.083083436	0.08035371	0.093155894	0.042372881	0.061946903	0.103896104	0.037735849	0.166666667
FBXO43	0.001854427	0	0	0	0	0.000705592	0.001153403	0	0	0	0	0	0.238095238
FBXO44	0.075567918	0.146627566	0.015151515	0.047619048	0.177777778	0.125242547	0.139946175	0.218631179	0.169491525	0.199115044	0.038961039	0.056603774	0.071428571
FBXO45	0.030134446	0.011730205	0.045454545	0	0	0.020109367	0.016147636	0.022813688	0	0.008849558	0.012987013	0.018867925	0
FBXO46	0.016689847	0.011730205	0.015151515	0	0.066666667	0.019403775	0.016532103	0.013307985	0.008474576	0.004424779	0	0	0.047619048
FBXO47	0.000463607	0	0	0	0	0.000176398	0.001922338	0	0	0	0	0	0
FBXO48	0.008344924	0.014662757	0	0.047619048	0.022222222	0.011289469	0.018069973	0.022813688	0.008474576	0.017699115	0	0	0
FBXO5	0.055632823	0.046920821	0.015151515	0	0	0.036161581	0.044213764	0.022813688	0.042372881	0.030973451	0.025974026	0.037735849	0.761904762
FBXO6	0.092721372	0.11143695	0.015151515	0.047619048	0.2	0.140941965	0.192233756	0.269961977	0.194915254	0.336283186	0.012987013	0.037735849	0.333333333
FBXO7	0.467779323	0.287390029	0.333333333	0.238095238	0.533333333	0.445052037	0.37408689	0.460076046	0.372881356	0.362831858	0.168831169	0.150943396	1
FBXO8	0.058878071	0.035190616	0.045454545	0.119047619	0.066666667	0.076027518	0.069204152	0.058935361	0.084745763	0.079646018	0.051948052	0.018867925	0.047619048
FBXO9	0.155308299	0.123167155	0.121212121	0.19047619	0.177777778	0.154877403	0.162629758	0.197718631	0.084745763	0.190265487	0.207792208	0.037735849	0.30952381
FBXW10	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXW11	0.165044043	0.152492669	0.121212121	0.214285714	0.222222222	0.149938261	0.140330642	0.16539924	0.093220339	0.150442478	0.207792208	0.113207547	0.30952381
FBXW12	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXW2	0.173852573	0.164222874	0.121212121	0.119047619	0.155555556	0.197565708	0.193771626	0.190114068	0.169491525	0.163716814	0.194805195	0.169811321	0.404761905
FBXW4	0.035234121	0.032258065	0.03030303	0.047619048	0.044444444	0.031398836	0.031526336	0.02851711	0.025423729	0.03539823	0.064935065	0.037735849	0.023809524
FBXW5	0.267501159	0.258064516	0.227272727	0.238095238	0.244444444	0.315223143	0.339484814	0.422053232	0.440677966	0.424778761	0.181818182	0.20754717	0.80952381
FBXW7	0.108484006	0.070381232	0.106060606	0.119047619	0.222222222	0.115364262	0.096501346	0.076045627	0.042372881	0.132743363	0.090909091	0.075471698	0.047619048
FBXW8	0.030134446	0.032258065	0.045454545	0.023809524	0	0.019932969	0.024990388	0.019011407	0.042372881	0.008849558	0.064935065	0	0.023809524
FBXW9	0.008344924	0.011730205	0	0.023809524	0.044444444	0.004233551	0.003844675	0.009505703	0.016949153	0.030973451	0	0	0.047619048
FCAMR	0	0	0	0	0	0.000176398	0	0	0	0	0	0	0
FCAR	0.000463607	0	0	0	0	0.000352796	0.000768935	0	0	0	0	0	0
FCER1A	0.000463607	0	0	0	0	0.001940377	0.005767013	0.003802281	0	0.004424779	0	0	0
FCER1G	4.026889198	2.841642229	2.727272727	2.452380952	3.488888889	3.233374493	3.174548251	3.836501901	2.56779661	4.110619469	0.298701299	1.79245283	4.047619048
FCER2	0.001390821	0	0	0	0	0.00088199	0.001922338	0.005703422	0	0	0	0	0
FCF1	0.078813166	0.070381232	0.075757576	0.047619048	0.066666667	0.056800141	0.069204152	0.051330798	0.06779661	0.061946903	0.012987013	0.037735849	0.071428571
FCGBP	0.010199351	0.011730205	0.03030303	0.023809524	0.022222222	0.006173928	0.007304883	0.005703422	0	0.008849558	0.064935065	0	0.047619048
FCGR1A	0.001390821	0	0	0	0	0.001058388	0.003844675	0.001901141	0	0	0	0	0
FCGR1B	0.000463607	0	0	0	0	0.000529194	0.001153403	0	0	0	0	0	0
FCGR2A	0.004172462	0	0	0	0	0.008290704	0.01076509	0.009505703	0.008474576	0.008849558	0	0	0
FCGR2B	0.012053778	0.014662757	0.015151515	0.023809524	0.044444444	0.066149233	0.093041138	0.093155894	0.059322034	0.132743363	0.012987013	0.056603774	0.023809524
FCGR3A	0.662957812	1.011730205	0.424242424	0.119047619	1.933333333	5.720232845	5.506343714	6.532319392	5.898305085	6.460176991	0.142857143	2.981132075	7.095238095
FCGR3B	0.014371813	0.026392962	0.045454545	0	0.088888889	0.120303404	0.130718954	0.098859316	0.177966102	0.115044248	0.012987013	0.018867925	0.30952381
FCGRT	0.046360686	0.029325513	0.015151515	0.023809524	0.022222222	0.019403775	0.023452518	0.030418251	0.016949153	0.022123894	0.012987013	0.018867925	0
FCHO1	0.057487251	0.046920821	0.03030303	0.023809524	0.133333333	0.039865938	0.051903114	0.058935361	0.042372881	0.079646018	0.012987013	0.037735849	0.238095238
FCHO2	0.028743625	0.026392962	0.03030303	0.023809524	0.066666667	0.047627448	0.047673972	0.049429658	0	0.044247788	0.025974026	0.018867925	0.023809524
FCHSD1	0.077422346	0.058651026	0.075757576	0.095238095	0.111111111	0.093314518	0.101114956	0.11026616	0.059322034	0.110619469	0.064935065	0.056603774	0.166666667
FCHSD2	0.092257765	0.06744868	0.075757576	0.071428571	0.066666667	0.064385253	0.074971165	0.087452471	0.059322034	0.044247788	0.038961039	0.094339623	0.214285714
FCMR	0.532220677	0.548387097	0.606060606	0.5	0.533333333	0.805785853	1.01076509	0.992395437	0.661016949	0.89380531	0.311688312	0.452830189	0.642857143
FCN1	0.003245248	0.002932551	0	0	0	0.003175163	0.00768935	0.001901141	0	0	0	0	0.023809524
FCN2	0	0	0	0	0	0	0	0	0	0	0	0	0
FCN3	0	0	0	0	0	0.000352796	0	0	0	0	0	0	0
FCRL1	0.001390821	0	0.015151515	0	0	0.001058388	0.002691273	0	0	0.004424779	0	0	0
FCRL2	0.000927214	0	0	0	0	0.00088199	0.001153403	0.001901141	0	0	0	0	0
FCRL3	0.067686602	0.049853372	0.060606061	0.142857143	0.133333333	0.209207973	0.339869281	0.36121673	0.118644068	0.362831858	0.090909091	0.056603774	0.023809524
FCRL4	0.002781641	0	0	0	0	0	0.000384468	0	0	0	0	0	0
FCRL5	0.001854427	0.002932551	0	0	0	0.000529194	0.001153403	0	0	0	0	0	0
FCRL6	0.165971256	0.281524927	0.045454545	0.071428571	0.244444444	0.584053625	0.70472895	0.960076046	0.93220339	1.030973451	0.207792208	0.41509434	0.5
FCRLA	0.000463607	0.002932551	0.03030303	0	0	0.001411184	0.001922338	0.001901141	0	0	0	0	0
FCRLB	0.016689847	0.017595308	0.015151515	0.023809524	0.044444444	0.02928206	0.058439062	0.064638783	0.025423729	0.066371681	0	0	0.095238095
FDCSP	0	0.002932551	0	0	0	0.000176398	0	0	0	0	0	0	0
FDFT1	0.436717663	0.299120235	0.257575758	0.285714286	0.4	0.382077968	0.488658208	0.524714829	0.381355932	0.473451327	0.207792208	0.150943396	1.30952381
FDPS	0.380157626	0.231671554	0.212121212	0.214285714	0.288888889	0.307461633	0.327566321	0.349809886	0.305084746	0.367256637	0.12987013	0.150943396	1.547619048
FDX1	0.486323598	0.184750733	0.181818182	0.238095238	0.177777778	0.310636797	0.315647828	0.254752852	0.211864407	0.238938053	0.064935065	0.20754717	1.19047619
FDXACB1	0.004636069	0.002932551	0	0	0	0.004057153	0.003844675	0.003802281	0.016949153	0.004424779	0	0	0
FDXR	0.022716736	0.011730205	0.045454545	0.023809524	0.022222222	0.021167754	0.028835063	0.024714829	0.033898305	0.030973451	0	0.037735849	0.166666667
FECH	0.081131201	0.058651026	0.045454545	0	0.022222222	0.044628682	0.045751634	0.05513308	0.050847458	0.066371681	0	0.037735849	0.095238095
FEM1A	0.08715809	0.046920821	0.060606061	0.023809524	0.044444444	0.074087141	0.061514802	0.08365019	0.059322034	0.092920354	0.025974026	0.018867925	0.166666667
FEM1B	0.090403338	0.064516129	0.060606061	0.095238095	0.066666667	0.081495855	0.058823529	0.08365019	0.06779661	0.097345133	0.090909091	0	0.142857143
FEM1C	0.084840056	0.052785924	0.060606061	0	0.066666667	0.05344858	0.070742022	0.045627376	0.033898305	0.053097345	0.12987013	0.018867925	0.071428571
FEN1	0.131200742	0.041055718	0.015151515	0.047619048	0	0.09737167	0.089196463	0.047528517	0.076271186	0.057522124	0	0.018867925	1.523809524
FENDRR	0	0	0	0	0	0	0	0	0	0	0	0	0
FER	0.044042652	0.055718475	0.03030303	0.071428571	0.066666667	0.024695714	0.033448674	0.032319392	0.050847458	0.030973451	0.077922078	0.056603774	0
FER1L5	0	0	0	0	0	0	0	0	0	0	0	0	0
FER1L6	0	0	0	0	0	0	0	0	0	0	0	0	0
FER1L6-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
FER1L6-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0
FERD3L	0	0	0	0	0	0	0	0	0	0	0	0	0
FERMT1	0.000463607	0	0	0	0	0	0	0	0	0	0	0	0
FERMT2	0.003708855	0.005865103	0.015151515	0.023809524	0	0.00088199	0.008842753	0	0	0.004424779	0	0	0.023809524
FERMT3	0.370421882	0.316715543	0.333333333	0.380952381	0.377777778	0.430234609	0.444059977	0.596958175	0.423728814	0.522123894	0.142857143	0.113207547	0.976190476
FES	0.173852573	0.052785924	0.424242424	0.166666667	0.155555556	0.110248721	0.134948097	0.11026616	0.093220339	0.163716814	0.025974026	0.075471698	0.285714286
FETUB	0	0	0	0	0	0	0	0	0	0	0	0	0
FEV	0	0	0	0	0	0	0	0	0	0	0	0	0
FEZ1	0.115438108	0.070381232	0	0.023809524	0	0.200917269	0.282199154	0.281368821	0.093220339	0.163716814	0	0.132075472	0.119047619
FEZ2	0.140009272	0.152492669	0.136363636	0.19047619	0.022222222	0.129123302	0.140330642	0.123574144	0.06779661	0.159292035	0.116883117	0.132075472	0.30952381
FEZF1	0	0	0	0	0	0	0	0	0	0	0	0	0
FEZF1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
FFAR1	0	0	0	0	0	0	0	0	0	0	0	0	0
FFAR2	0.01483542	0.005865103	0	0	0	0.000176398	0.002306805	0.001901141	0.008474576	0	0	0	0
FFAR3	0.002781641	0.002932551	0	0	0	0.000352796	0.001922338	0	0	0	0	0	0
FFAR4	0	0	0	0	0	0.000176398	0.000384468	0	0	0	0	0	0
FGA	0	0	0	0	0	0	0	0	0	0	0	0	0
FGB	0	0	0	0	0	0.000529194	0	0	0	0	0	0	0
FGD1	0	0	0	0	0	0	0.000384468	0.001901141	0	0	0	0	0
FGD2	0.005099675	0.008797654	0.015151515	0.047619048	0.044444444	0.005644735	0.005382545	0.007604563	0	0.013274336	0	0	0
FGD3	0.276773296	0.255131965	0.257575758	0.333333333	0.266666667	0.29140942	0.344098424	0.420152091	0.262711864	0.402654867	0.272727273	0.132075472	0.380952381
FGD4	0.026425591	0.023460411	0.045454545	0	0	0.001940377	0.002691273	0.003802281	0	0	0.064935065	0	0
FGD5	0	0	0	0	0	0.000176398	0	0	0	0	0	0	0
FGD5-AS1	0.144181734	0.117302053	0.181818182	0.071428571	0.088888889	0.1379432	0.133410227	0.159695817	0.13559322	0.194690265	0.103896104	0.075471698	0.357142857
FGD6	0.004172462	0.002932551	0.015151515	0.095238095	0	0.004586347	0.00461361	0.007604563	0.008474576	0	0	0	0.023809524
FGF1	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF10	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF11	0.000927214	0	0	0	0	0.000705592	0.000768935	0.001901141	0	0	0	0	0
FGF12	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF12-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF13	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF13-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF14	0	0	0	0	0	0.000705592	0.002306805	0.001901141	0.008474576	0	0	0	0
FGF14-AS2	0.001854427	0	0.015151515	0.023809524	0	0.001411184	0.002306805	0.003802281	0	0.004424779	0	0	0
FGF16	0.000463607	0	0	0	0	0	0	0	0	0	0	0	0
FGF17	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF18	0.000927214	0	0	0	0	0.000176398	0	0.001901141	0	0	0	0	0
FGF19	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF2	0.000463607	0	0	0	0	0	0.001153403	0	0	0	0	0	0
FGF20	0.000463607	0	0	0	0	0.000176398	0	0	0	0	0	0	0
FGF22	0.009735744	0.002932551	0	0	0	0.006350326	0.00615148	0.001901141	0	0	0	0	0.023809524
FGF23	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF3	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF5	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF7	0	0	0	0.023809524	0	0	0	0	0	0	0	0	0
FGF8	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF9	0.002318034	0.005865103	0	0	0	0.008996296	0.003844675	0.003802281	0	0.004424779	0	0	0
FGFBP1	0	0	0	0	0	0.000352796	0	0.001901141	0	0	0	0	0
FGFBP2	0.161335188	0.090909091	0.257575758	0	1.955555556	6.482448404	5.438292964	6.38973384	5.677966102	7.172566372	0.25974026	4.547169811	6.285714286
FGFBP3	0.013908206	0.008797654	0	0	0.022222222	0.028047275	0.026143791	0.017110266	0.033898305	0.017699115	0	0.037735849	0.071428571
FGFR1	0.020398702	0.014662757	0	0	0	0.028576469	0.031526336	0.022813688	0.008474576	0.026548673	0.025974026	0.018867925	0.095238095
FGFR1OP	0.082058414	0.085043988	0.121212121	0.095238095	0.066666667	0.040218733	0.058439062	0.051330798	0.050847458	0.048672566	0.103896104	0.018867925	0.30952381
FGFR1OP2	0.647195178	0.527859238	0.348484848	0.380952381	0.422222222	0.448579996	0.640138408	0.52851711	0.271186441	0.455752212	0.376623377	0.226415094	0.880952381
FGFR2	0	0	0	0	0	0	0.000384468	0	0	0.008849558	0	0	0
FGFR3	0.000927214	0	0	0	0	0	0.000384468	0	0	0	0	0	0
FGFR4	0	0	0	0	0	0	0.000768935	0	0	0	0	0	0
FGFRL1	0.007881317	0.008797654	0	0.023809524	0	0.00952549	0.008073818	0.009505703	0.008474576	0.004424779	0.012987013	0	0
FGG	0	0	0	0	0	0	0.000384468	0	0	0	0	0	0
FGGY	0.027816412	0.032258065	0	0.047619048	0.022222222	0.018345387	0.023836986	0.013307985	0.025423729	0.026548673	0.038961039	0.018867925	0.071428571
FGL1	0	0	0	0	0	0	0	0	0	0	0	0	0
FGL2	0.049142327	0.038123167	0.045454545	0.023809524	0.133333333	0.448050803	0.729334871	0.384030418	0.36440678	0.345132743	0.090909091	0.20754717	0.476190476
FGR	0.470097357	0.390029326	0.424242424	0.595238095	0.6	0.552301993	0.740868897	0.885931559	0.711864407	0.977876106	0.194805195	0.339622642	1.095238095
FH	0.102920723	0.064516129	0.136363636	0.071428571	0.2	0.069677192	0.089196463	0.074144487	0.076271186	0.057522124	0.025974026	0.056603774	0.5
FHAD1	0.005099675	0.002932551	0	0	0	0.001411184	0.01076509	0.003802281	0	0.004424779	0	0	0
FHDC1	0.002318034	0	0	0	0.022222222	0.000176398	0.000768935	0	0	0	0	0	0
FHIT	0.029207232	0.029325513	0.106060606	0.071428571	0	0.01375904	0.016532103	0.015209125	0.016949153	0.004424779	0.012987013	0	0.071428571
FHL1	0.028280019	0.005865103	0.090909091	0.19047619	0	0.009349092	0.013071895	0.007604563	0	0.013274336	0	0	0.071428571
FHL2	0.003245248	0	0	0	0	0.00088199	0.001922338	0.001901141	0	0	0	0	0
FHL3	0.15808994	0.164222874	0.106060606	0.095238095	0.177777778	0.143235138	0.275663206	0.214828897	0.101694915	0.278761062	0.038961039	0.037735849	0.166666667
FHL5	0.000463607	0	0	0	0	0	0	0	0	0	0	0	0
FHOD1	0.086230876	0.055718475	0.03030303	0.023809524	0.022222222	0.062444876	0.06651288	0.074144487	0.059322034	0.07079646	0.025974026	0.018867925	0.285714286
FHOD3	0	0	0	0	0	0	0	0	0	0	0	0	0
FIBCD1	0	0	0	0	0	0	0	0	0	0	0	0	0
FIBIN	0	0	0	0	0	0	0	0	0	0	0	0	0
FIBP	0.365785814	0.2228739	0.318181818	0.380952381	0.377777778	0.286999471	0.291041907	0.262357414	0.313559322	0.327433628	0.025974026	0.188679245	1.523809524
FICD	0.01483542	0.005865103	0.03030303	0.023809524	0	0.015875816	0.020761246	0.011406844	0.025423729	0.017699115	0.012987013	0.018867925	0
FIG4	0.042651831	0.020527859	0.045454545	0.047619048	0.044444444	0.052390192	0.079969243	0.077946768	0.06779661	0.101769912	0.051948052	0.018867925	0.047619048
FIGLA	0	0	0	0	0	0	0	0	0	0	0	0	0
FIGN	0	0	0	0	0	0	0	0	0	0	0	0	0
FIGNL1	0.020862309	0.023460411	0.045454545	0	0.044444444	0.016228612	0.023836986	0.024714829	0.008474576	0.017699115	0.025974026	0.018867925	0.119047619
FILIP1	0	0	0	0	0	0.000176398	0	0	0	0	0	0	0
FILIP1L	0.004636069	0	0	0.023809524	0	0.002116775	0.00461361	0.003802281	0	0	0	0	0
FIP1L1	0.264719518	0.214076246	0.318181818	0.214285714	0.266666667	0.219262657	0.262591311	0.269961977	0.288135593	0.256637168	0.324675325	0.113207547	0.785714286
FIRRE	0.005099675	0.005865103	0.015151515	0	0	0.00088199	0.001922338	0.001901141	0	0	0	0	0.023809524
FIS1	0.624478442	0.439882698	0.53030303	0.452380952	0.644444444	0.524431117	0.555555556	0.494296578	0.457627119	0.530973451	0.064935065	0.301886792	0.857142857
FITM1	0.000463607	0	0	0	0	0.000529194	0.000768935	0.003802281	0	0	0	0.018867925	0
