	NK.c01.CD56brightCD16hi	NK.c02.CD56brightCD16lo.GZMH	NK.c03.CD56brightCD16lo.IL7R.RGS1lo	NK.c04.CD56brightCD16lo.CCL3	NK.c05.CD56brightCD16lo.IL7R	NK.c06.CD56brightCD16lo.CREM	NK.c07.CD56dimCD16hi.IL32	NK.c08.CD56dimCD16hi.CX3CR1	NK.c09.CD56dimCD16hi.ZNF90	NK.c10.CD56dimCD16hi.NFKBIA	NK.c11.CD56dimCD16hi.MKI67	NK.c12.CD56dimCD16hi.DNAJB1	NK.c13.CD56dimCD16hi.NR4A3
RP11-404E16.1	0	0	0	0	0	0	0	0	0	0	0	0.000281813	0.00035985
SNX27	0.05004894	0.094486942	0.061310643	0.04285778	0.06599609	0.05572574	0.047427701	0.064837616	0.153174948	0.070681095	0.043391092	0.055602458	0.060141684
RP11-98D18.1	0	0	0	0	0	0	0	0	0	0	0	0	0
CELF3	0	0	0	0	0	0	0	0	0	0	0	0	0
RIIAD1	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-98D18.15	0	0	0	0	0	0.00187149	0.027935918	0.005300141	0	0	0	0.002312604	0.002798317
MRPL9	0.161085438	0.206494087	0.160345567	0.140510529	0.136755015	0.135400212	0.161710744	0.196363637	0.359634928	0.17220684	0.208763534	0.154994484	0.158143647
OAZ3	0	0	0	0	0	0.001655855	0	0.005332858	0	0.003312397	0	0.002635895	0.003408218
RP11-98D18.3	0	0	0	0.002839687	0.016551047	0.004494777	0	0	0.026543065	0.00313348	0	0.004842234	0.004372608
RP11-98D18.16	0	0	0	0	0	0	0	0	0	0	0	0.000467624	0
TDRKH	0.028660162	0.018214196	0.033180256	0.007100609	0.009229451	0.012276353	0.01810331	0.029286109	0.047973998	0.015240334	0	0.018631498	0.013568792
RP11-98D18.9	0.032662869	0	0.095695899	0.010935752	0	0.00475742	0.016360104	0.020243859	0.103105844	0.008239363	0.004586926	0.009372289	0.005416882
RP11-98D18.17	0	0	0	0	0	0	0	0	0	0	0	0	0
LINGO4	0	0	0.035224663	0	0	0.001319477	0	0	0	0	0	0	0
RORC	0	0	0.532417956	0	0.018458901	0.003852739	0	0	0	0	0	0	0.00042384
C2CD4D	0	0	0	0.002486024	0	0.002823831	0	0	0	0.001352375	0	0.003400823	0.000971505
AL450992.2	0	0	0.018192758	0	0.010551409	0.000495956	0	0	0	0	0	0	0
THEM5	0	0	0	0	0	0	0	0	0	0	0	0	0
THEM4	0.113873138	0.167865153	0.434691717	0.132426595	0.63034663	0.153743223	0.117044421	0.121359528	0.261860942	0.107004575	0.244883437	0.105767446	0.109578761
S100A10	0.783489978	1.86380143	2.131620223	1.548448151	1.653505929	1.909658411	1.747858976	1.544017174	1.803653998	1.608900838	3.32757467	1.864995384	1.808285702
AL591893.1	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A11	0.278098446	1.342929067	1.294708936	0.904849823	1.014427629	1.543003322	1.514327225	1.364948842	1.761753096	1.102618196	2.692255521	1.241964313	1.153985562
TCHHL1	0	0	0	0	0	0	0	0	0	0	0	0	0
TCHH	0	0	0	0	0	0	0	0	0	0	0	0	0.00039926
RPTN	0	0	0	0	0	0	0	0	0	0	0	0	0
FLG-AS1	0	0	0	0	0	0	0	0	0	0	0	0.000660198	0.000381558
RP11-107M16.2	0	0	0	0	0	0	0	0	0	0	0	0	0
HRNR	0	0	0	0	0	0.000119624	0	0	0	0	0	0	0.000142412
FLG	0	0	0	0	0	0.000390605	0	0	0	0	0	0	0
FLG2	0	0	0	0	0	0	0	0	0	0	0	0	0
CRNN	0	0	0	0	0	0	0	0	0	0	0	0	0
CRCT1	0	0	0	0	0	0.003095637	0	0	0	0	0	0	0
LCE3E	0	0	0	0	0	0.002734238	0	0	0	0	0	0	0
LCE3D	0	0	0	0	0	0.003124843	0	0	0	0	0	0	0
LCE3A	0	0	0	0	0	0	0	0	0	0	0	0	0
KPRP	0	0	0	0	0	0	0	0	0	0	0	0	0
LCE1F	0	0	0	0	0	0	0	0	0	0	0	0	0
LCE1E	0	0	0	0	0	0	0	0	0	0	0	0	0
LCE1C	0	0	0	0	0	0	0	0	0	0	0	0	0
LCE1B	0	0	0	0	0	0	0	0	0	0	0	0	0
SMCP	0	0	0	0	0	0	0	0	0	0	0	0	0
IVL	0	0	0	0	0	0	0	0	0	0	0	0.000536589	0
LINC01527	0	0	0	0	0	0	0	0	0	0	0	0	0
SPRR4	0	0	0	0	0	0	0	0	0	0	0	0	0
SPRR1A	0	0	0	0	0	0.000390605	0	0	0	0	0	0	0
SPRR3	0	0	0	0	0	0.001171816	0	0	0	0	0	0	0.000226743
SPRR1B	0	0	0	0	0	0.011718162	0	0	0	0	0	0	0
SPRR2D	0	0	0	0	0	0.009765135	0	0	0	0	0	0	0
SPRR2A	0	0	0	0	0	0.011327557	0	0	0	0	0	0	0.000140275
SPRR2B	0	0	0	0	0	0.001562422	0	0	0	0	0	0	0
SPRR2E	0	0	0	0	0	0.016405427	0	0	0	0	0	0	0
SPRR2F	0	0	0	0	0	0	0	0	0	0	0	0	0
SPRR2G	0	0	0	0	0	0.017186638	0	0	0	0	0	0	0
LELP1	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR9	0	0	0	0	0	0	0	0	0	0	0	0	0
LOR	0	0	0	0	0	0.000472482	0	0	0	0	0	0	0
PGLYRP3	0	0	0	0	0	0	0	0	0	0	0	0	0
PGLYRP4	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A9	0	0	0.026162868	0.013693278	0	0.02334463	0.0111285	0	0	0.029481148	0.005367394	0.012011487	0.017113373
S100A12	0	0	0	0.0034646	0	0.002309248	0.00779326	0.003916616	0	0	0	0.001800535	0.000911798
S100A8	0	0	0	0.007331389	0	0.020545874	0.05167252	0.015664121	0.013816436	0.026133747	0	0.036178366	0.014118756
S100A7A	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A7	0	0	0	0.002170126	0	0.00507787	0	0	0	0	0	0.000309248	0.000173438
BX470102.3	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A6	0.918792382	1.787888682	1.096745895	1.401358151	1.047205626	1.47973589	4.258452862	2.538273994	3.622495621	2.276820259	3.517368734	1.95841469	2.755085226
S100A5	0	0	0	0	0	0	0	0	0	0	0	0	0.000597252
S100A4	1.417255892	3.969878092	2.164339439	2.346659147	2.594081592	2.009870524	9.248243016	6.225244736	9.269249026	5.765301481	7.653123926	4.238459142	5.55895506
S100A3	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A2	0	0	0.026162868	0.004546111	0	0.000668942	0	0.003343764	0	0.001245388	0.00526721	0.002240478	0.001948866
S100A16	0	0	0	0	0	0.000743609	0	0	0	0.003421947	0	0	0.000394152
S100A14	0	0	0	0	0	0	0	0	0	0.003396191	0	0	0.000900928
S100A13	0	0	0.357349647	0.047300349	0.156243071	0.051093797	0	0.003315398	0	0.001710974	0.002722493	0.004990494	0.00443812
S100A1	0	0	0	0.005361677	0	0.000889493	0	0	0	0.005988408	0	0.000778823	0.000757986
RP1-178F15.4	0	0.032622656	0.079443496	0.011166616	0.008061869	0.015645901	0.015169601	0.006309098	0.032479844	0.024266992	0	0.009401835	0.010857588
CHTOP	0.284067287	0.223824691	0.294132568	0.207979146	0.136509559	0.178974961	0.271128108	0.214823572	0.164774396	0.191720998	0.277583972	0.198482441	0.182443194
SNAPIN	0.101407571	0.116596169	0.192844662	0.118225782	0.086657169	0.096309014	0.224786173	0.198253884	0.22687474	0.158611803	0.157084504	0.119252682	0.125068287
ILF2	0.127208223	0.451806761	0.566539706	0.364259094	0.460269364	0.596400183	0.4885487	0.468103229	0.539591437	0.539380278	1.100268633	0.527201255	0.547074639
NPR1	0	0	0	0	0	0	0	0	0	0	0	0.000706059	0
INTS3	0.120171083	0.093186513	0.009121743	0.140659973	0.050274914	0.044163216	0.060280473	0.092073588	0	0.086363858	0.076056967	0.043407955	0.051292127
RP11-216N14.8	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-216N14.9	0	0	0	0	0	0	0	0	0	0	0	0	0
AL513523.2	0	0	0	0	0	0.001655533	0.006237701	0	0	0.001656325	0	0.000424051	0.000652731
SLC27A3	0.169408244	0.2541681	0.009121743	0.083142937	0.149627416	0.076114953	0.329174419	0.186760784	0.08234057	0.151838844	0.149070678	0.117029189	0.117668451
GATAD2B	0.355953979	0.142146104	0.182920067	0.242528382	0.22612613	0.178300379	0.142781773	0.178697271	0.104912977	0.162690614	0.16067329	0.1305403	0.1410454
DENND4B	0.220479941	0.077238649	0.121729533	0.072157878	0.087873167	0.047563077	0.129474076	0.117064502	0.026215005	0.087466314	0.048287961	0.083330662	0.082345152
CRTC2	0.177253032	0	0.23720529	0.164415955	0.055359408	0.118458688	0.067483302	0.077848613	0.0446481	0.144414292	0.050619246	0.104729528	0.086939606
SLC39A1	0.149838175	0.040276405	0.192485324	0.088401271	0.07970645	0.105561771	0.152117087	0.167929746	0.239772588	0.121896107	0.080106805	0.130835594	0.117962076
RP11-422P24.12	0	0	0	0	0	0.000314931	0	0	0	0	0	0.000287958	0.000175909
RP11-422P24.10	0.018630213	0	0	0	0	0	0	0	0	0	0	0	0.000162862
CREB3L4	0	0.008996775	0.01414798	0.015640435	0.026032373	0.029063753	0.039916691	0.050337909	0.034143446	0.049523493	0.05616487	0.024501111	0.028559478
JTB	0.461898766	1.019337493	0.687068678	0.72197381	0.439174786	0.676673085	0.733319955	0.94336605	1.121834261	0.81225302	0.7751929	0.7019241	0.809651084
RP11-422P24.11	0	0.012460316	0	0.003061875	0	0.001203977	0	0	0	0.003049128	0	0.00482634	0.002557979
RAB13	0	0.020796532	0.01414798	0.014447334	0	0.003185947	0	0.003475447	0	0.002566461	0.038255082	0.001836848	0.001724784
RPS27	4.920245264	20.86484591	24.70320041	21.31911227	26.47290638	25.15228994	19.44029404	16.22117387	17.08553354	15.99260127	9.621015613	15.44601038	17.93284369
NUP210L	0	0	0	0	0	0.000345071	0	0	0	0	0	0	0.000185482
TPM3	1.322206923	2.168297242	1.767461007	1.503614385	1.034055817	1.458315885	2.379463644	2.351867756	2.104421712	2.189750568	2.733912984	1.798109015	2.064258806
C1orf189	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf43	0.269479047	0.376201075	0.483909469	0.401386072	0.406163982	0.412518417	0.354277248	0.372967001	0.280143203	0.44166337	0.29858157	0.407073192	0.444346032
UBAP2L	0.228662561	0.157383196	0.158694261	0.098372664	0.085746506	0.139500101	0.14256569	0.164072911	0.062435306	0.10420127	0.065742748	0.113704572	0.118104934
HAX1	0.367646175	0.163225179	0.414799999	0.321960226	0.412851633	0.305094283	0.366405541	0.318620375	0.56551131	0.311233716	0.326698863	0.32531972	0.328360683
AQP10	0	0	0	0	0	0	0	0	0	0	0	0	0.000271045
ATP8B2	0.094593	0.06147461	0.033380893	0.096364023	0.018326493	0.023139974	0.029816765	0.035662142	0	0.03244166	0	0.021200365	0.018238
RP11-350G8.5	0	0	0	0	0	0	0	0	0	0	0	0	0
IL6R	0	0	0	0	0.014006318	0.002601669	0	0.012407057	0	0.001801439	0	0.002149186	0.000703867
SHE	0	0	0	0	0	0	0	0	0	0.001710974	0	0.000404381	0.000226665
RP11-350G8.9	0	0	0	0	0	0	0	0	0	0	0	0	0
TDRD10	0	0	0	0	0	0	0	0	0	0	0	0.000313049	0
UBE2Q1	0.080430271	0.012460316	0.117336642	0.070566151	0.013692086	0.039605872	0.051457728	0.046828141	0.089126999	0.048700141	0.064457384	0.041847188	0.058469133
UBE2Q1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0.000298886
CHRNB2	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-61L14.6	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAR	1.022924049	0.594641645	0.545593189	0.642456263	0.419635835	0.469267602	0.562981213	0.506025541	0.460377831	0.434408129	0.326824312	0.363963499	0.455774463
KCNN3	0	0	0	0	0	0	0	0	0	0	0	0	0
PMVK	0	0.093211453	0.10948216	0.072464666	0.231603912	0.135428351	0.110159539	0.111509119	0.072687785	0.112856068	0.42117467	0.155124851	0.099016806
RP11-307C12.13	0	0	0	0.015819878	0	0.00732659	0	0.019864366	0	0.007662644	0	0.008367922	0.001349811
PBXIP1	0.242624383	0.391974602	0.433080352	0.40595467	0.333316766	0.371462108	0.219356058	0.246598335	0.135004433	0.235397507	0.036201805	0.251983268	0.268985272
PYGO2	0.016331435	0.083311676	0.248229973	0.076382136	0.040490585	0.060515894	0.073597282	0.102534188	0.154479529	0.06084064	0.056661138	0.079054316	0.06195738
RP11-307C12.12	0	0.032303077	0.027558765	0.009342885	0	0.00825938	0	0.008313852	0	0.009135381	0	0.00928183	0.005106784
SHC1	0.022996531	0.030633902	0.134886652	0.07528738	0.043798749	0.07674022	0.084345857	0.21498658	0.089581199	0.138468452	0.138453611	0.122075276	0.098556712
CKS1B	0.031758558	0.08744735	0.055828433	0.068012926	0.14048792	0.08223065	0.044117522	0.035154413	0.045475731	0.037890554	1.249944961	0.062914664	0.060670412
FLAD1	0.016331435	0.022101194	0.034502733	0.08438798	0.042510788	0.060071873	0.146969925	0.131314333	0.023448598	0.115504146	0.083204372	0.084907884	0.069013188
LENEP	0	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB7B	0.068973131	0.085143593	0.137883251	0.053854729	0.058407224	0.018340243	0.073245019	0.017744472	0	0.035734628	0.018540448	0.031113412	0.030216959
DCST2	0	0	0	0	0	0	0	0	0	0.00167521	0	0	0
DCST1	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-307C12.11	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM15	0.153432325	0.098781576	0	0.023860811	0.017504626	0.033595781	0.059079025	0.087793566	0.060653435	0.082254286	0.042564947	0.058227209	0.071770601
EFNA4	0	0	0.019826227	0.023748148	0	0.023422408	0.037445675	0.016229572	0	0.014009096	0	0.050765294	0.029562675
RP11-540D14.8	0	0	0	0	0	0	0	0	0	0	0	0	0
EFNA3	0	0	0	0	0	0.002618984	0	0	0	0	0	0.002832298	0.002187176
EFNA1	0	0.048549737	0	0	0	0.001704987	0	0.003514138	0	0	0	0.008586583	0.005723904
SLC50A1	0.091217033	0.155722988	0.140731541	0.125323386	0.23720805	0.076972595	0.092308368	0.174577197	0.022031496	0.111444198	0.098915072	0.116432893	0.088395022
DPM3	0.041437007	0.183100531	0.240604462	0.182364426	0.255356857	0.184602045	0.254495633	0.213752736	0.102796898	0.17336676	0.233191363	0.169370199	0.161755945
KRTCAP2	0.197632749	0.973464692	1.051039754	0.796113895	0.54174625	0.690611305	1.184085622	0.780211816	0.928784006	0.815831829	1.697083565	0.665788485	0.76744968
RP11-201K10.3	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM46	0.025066458	0	0	0.01875576	0	0.002117453	0	0.002974726	0	0.00555427	0	0.004142969	0.001439052
MUC1	0	0	0	0	0	0.000862495	0	0	0	0	0	0.001371753	0.000400099
AC234582.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC234582.1	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-263K19.4	0	0	0	0	0	0.002682816	0	0	0	0	0	0.001016036	0.000619392
THBS3	0.034966674	0	0	0	0	0.004251789	0	0.011464321	0	0.008420462	0	0.005232488	0.002523145
MTX1	0.076983549	0.041240514	0.038367688	0.080392906	0.060999552	0.091716613	0.08356568	0.151656883	0.133831862	0.106161383	0.185405249	0.114666415	0.099528626
RP11-263K19.6	0	0	0	0	0	0.000681431	0	0	0	0	0	0.000280207	0.000776881
GBA	0.096726022	0.162224079	0.039877497	0.066859048	0.036654282	0.060661042	0.173935849	0.156163691	0.1110588	0.138629268	0.082104695	0.112262965	0.10540536
FAM189B	0	0.06845678	0	0.030889062	0	0.021748765	0.013252155	0.016394163	0.054983553	0.031314557	0.001361247	0.02903375	0.029370925
SCAMP3	0.156974938	0.174044953	0.369789207	0.157893942	0.162498068	0.163671859	0.200746512	0.198978691	0.183997698	0.263601112	0.146552955	0.184272161	0.199397222
CLK2	0.078724001	0.081362307	0.057388499	0.108809756	0.050007325	0.059743805	0.03878519	0.096073455	0.104114834	0.062840728	0.029521013	0.044182569	0.05968116
HCN3	0	0	0.018192758	0	0	0.002612312	0	0.005156939	0	0.001657493	0	0.001165622	0.002235798
PKLR	0	0	0	0	0	0.000111187	0	0	0	0	0	0	0.000213292
FDPS	0.405101386	0.239113863	0.242003516	0.28452368	0.187030916	0.266452957	0.376137022	0.409189954	0.216666288	0.323345943	0.607398729	0.279413194	0.289321046
RUSC1-AS1	0	0	0	0	0	0.000364494	0	0.003682041	0	0.001526544	0	0.002308832	0.000594008
RUSC1	0.056840581	0.057546512	0.064612647	0.061659896	0.042560452	0.048992783	0.113707017	0.08622365	0.05917765	0.110003964	0.171509633	0.088763535	0.078415878
ASH1L	1.104790252	0.33660754	0.130162829	0.443253428	0.296296709	0.26579314	0.394074972	0.182945394	0.18438885	0.210843081	0.080628603	0.17415619	0.236715602
ASH1L-AS1	0.08326119	0	0.018192758	0.063437459	0.044310789	0.033559554	0.053262068	0.03901531	0	0.050894095	0.001361247	0.032324007	0.030932572
RP11-29H23.4	0	0	0	0	0	0	0	0	0	0	0	0	0
MSTO1	0	0	0.03540269	0.05120395	0.008612834	0.019511462	0.049250656	0.040412567	0	0.033137349	0.005948172	0.02541112	0.01900498
YY1AP1	0.37211512	0.181008909	0.074170392	0.20681619	0.159851121	0.1488614	0.174072411	0.196650698	0.171140721	0.19751611	0.177177509	0.152475901	0.156619953
DAP3	0.50743387	0.342125249	0.218525897	0.157994307	0.244077049	0.230392574	0.333360096	0.224806795	0.247572755	0.218550767	0.359380122	0.255081195	0.250200475
GON4L	0.679730827	0.323496954	0.262985417	0.335900355	0.235467859	0.190457172	0.313229592	0.273643762	0.184930383	0.198534944	0.144189717	0.205707067	0.214315896
SYT11	0.252127517	0.171128774	0.060895798	0.093824846	0.035030936	0.072135591	0.225302681	0.193542652	0.131354142	0.173516896	0.156302819	0.14904288	0.153500003
RIT1	0.166703509	0.11127481	0.17823167	0.103902464	0.093767725	0.087488795	0.123628605	0.090114446	0.025847143	0.091160539	0.061444024	0.1188911	0.114253223
KIAA0907	0.142020933	0.008996775	0.100175853	0.172832559	0.084012348	0.115683415	0.107057182	0.090549208	0.214321425	0.118063409	0.112203118	0.103076857	0.112429212
RXFP4	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF2	0.170835105	0.08408183	0.112508649	0.103848645	0.077582852	0.130061548	0.123898866	0.20709051	0.115104618	0.199353111	0.122484943	0.182537706	0.141276029
RP11-336K24.12	0	0.007468514	0	0	0.008841805	0.000364681	0	0	0	0	0.001361247	0.001304438	0.001388153
RP11-336K24.5	0	0	0	0	0	0	0	0	0	0	0	0	0
SSR2	0.66831355	1.904146142	1.555096697	1.060273447	1.278746674	1.132153165	1.528598772	1.501661076	1.852334688	1.400445038	1.565105573	1.262264853	1.410343197
UBQLN4	0.042710755	0.008996775	0.0687195	0.037770462	0.099353484	0.041039496	0.019690954	0.051871527	0.038478237	0.049480267	0.03366149	0.032912359	0.036199905
LAMTOR2	0.021093578	0.245054018	0.139448119	0.15864725	0.142381142	0.155993025	0.174283898	0.334167667	0.356625249	0.230292256	0.479350346	0.205637013	0.186935029
RAB25	0	0	0	0.003881143	0	0	0	0	0	0.000855487	0	0	0.000265361
MEX3A	0	0	0	0.00306792	0	0.001410707	0	0.002794439	0	0	0	0.001356805	0.000657444
LMNA	0.229596872	0.114763392	0.013060157	0.31017149	0.70931459	1.984488679	0.044510497	0.039502616	0.061984241	0.138511492	0.035701905	0.48943438	0.560762955
SEMA4A	0.075160268	0.035472226	0	0.026474847	0	0.022266045	0	0	0	0.001551052	0	0.001920075	0.001774464
SLC25A44	0.317433485	0.075664586	0.078757463	0.081808037	0.011690381	0.073478277	0.05397494	0.020938585	0.05528757	0.049740739	0.053187466	0.056524632	0.07642013
PMF1-BGLAP	0	0.056326393	0	0.028016861	0.011605896	0.014395236	0.010523599	0.015521053	0.023230688	0.011549067	0.026567613	0.007402154	0.010012173
PMF1	0.042006115	0	0	0.019809723	0	0.024823541	0.013656825	0.02750848	0	0.011841172	0.007406779	0.015703818	0.017350242
BGLAP	0	0.057959306	0	0.196896739	0	0.126756277	0	0	0	0	0	0.00041138	0.000660358
PAQR6	0.042824651	0.065084901	0	0.030937334	0.050260291	0.030928492	0	0	0	0	0	0.000920685	0.001673754
SMG5	0.182293416	0.192199079	0	0.095870007	0.05139223	0.090917157	0.054477491	0.175455787	0.085020977	0.125135253	0.058412879	0.084727594	0.093198405
TMEM79	0.023375901	0.013790139	0.026733003	0.021350137	0.01252113	0.012092655	0.029677507	0.061051971	0	0.023880285	0	0.022998554	0.012045357
GLMP	0.021643186	0.027942022	0.11698787	0.088167453	0.021287129	0.060401674	0.094895958	0.168320647	0.079328333	0.093512945	0.073541777	0.100408774	0.076934955
VHLL	0	0	0	0	0	0	0	0	0	0	0	0.000375034	0
CCT3	0.588841973	0.326631443	0.385284775	0.28619934	0.251000715	0.507241495	0.310880094	0.451825306	0.498868922	0.446919408	0.762061752	0.65438903	0.457949315
TSACC	0	0	0	0	0	0.000352937	0	0	0	0.001087195	0	0.001483221	0.000788493
RHBG	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-139I14.2	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf61	0.094097133	0	0	0.006158682	0	0.005217281	0.019251919	0.01780413	0	0.014115511	0.007406779	0.015209038	0.015340527
RP11-98G7.1	0	0	0	0	0	0	0	0	0	0	0	0.001384353	0.000455739
MEF2D	0.251606572	0.177867444	0.064120314	0.139018804	0.069013965	0.153015512	0.122369508	0.142756206	0.042163354	0.133501464	0.10185578	0.131712823	0.194263796
RP11-284F21.8	0	0	0	0	0	0	0	0	0	0	0	0	0
IQGAP3	0	0	0	0.001589777	0	0.001076537	0	0	0	0	0.034136725	0.000134781	0.000365983
TTC24	0.073012729	0	0.019893208	0.050808841	0	0.016435827	0	0.004484846	0	0.004401082	0	0.00676973	0.006358263
APOA1BP	0.172619567	0.220517314	0.164834974	0.230907752	0.162449596	0.19617098	0.436761265	0.311025842	0.284640212	0.273979939	0.31294308	0.2449154	0.296244145
GPATCH4	0.072381542	0.014910011	0.101127039	0.067215468	0.084818298	0.086662392	0.153052425	0.048478916	0.05995312	0.060530185	0.126620488	0.053441517	0.065147997
AL365181.2	0	0	0	0	0	0.00062494	0	0	0	0	0	0	0.000457428
RP11-284F21.11	0	0	0	0	0	0	0	0	0	0	0	0	0
HAPLN2	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-284F21.9	0	0	0	0	0	0	0	0	0	0	0	0	0
BCAN	0	0	0	0.003427069	0	0.001691777	0.012348001	0	0	0.006528083	0	0.002055697	0.001267986
RP11-284F21.10	0	0	0	0	0	0	0	0	0	0	0	0.000296272	0
RP11-284F21.7	0	0	0	0	0	0.000614514	0.006170365	0	0	0	0	0.000296272	0.000163513
NES	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-66D17.3	0	0	0	0	0	0	0	0	0	0	0	0	0
CRABP2	0	0	0	0	0	0.001382012	0	0	0	0	0	0.003998621	0.001812883
RP11-66D17.5	0	0	0	0	0	0	0	0	0	0	0	0.000314291	0
ISG20L2	0.165376226	0.188647888	0.056112349	0.254995936	0.199422453	0.309934823	0.13138834	0.214060143	0.125228055	0.296352926	0.151783595	0.391973621	0.414448152
RRNAD1	0.044639717	0.020796532	0.112836072	0.064560983	0.047239301	0.0385047	0.0589121	0.060793151	0.056767286	0.039839878	0.031131315	0.052439764	0.034598454
MRPL24	0.134370873	0.180016375	0.175799158	0.057960014	0.144547759	0.084971904	0.153197171	0.126097606	0.287170812	0.114281246	0.097515549	0.109205116	0.104308571
HDGF	0.119333213	0.156133806	0.276068712	0.14666991	0.340867336	0.202244234	0.153330196	0.123459188	0.193761338	0.136941001	0.644531048	0.153323364	0.173642601
PRCC	0.16511118	0.245562993	0.151928235	0.163695744	0.15978823	0.185680268	0.128629502	0.126234466	0.149391745	0.24517495	0.198547084	0.1759965	0.183835112
SH2D2A	0.607948755	1.134387176	0.356891093	1.127921971	0.835417941	1.74506693	1.082521753	1.444701372	2.251383007	1.524950229	0.922144557	1.450845596	2.774215339
NTRK1	0	0	0	0.005663783	0	0.013547022	0	0	0	0.006320695	0	0.006466332	0.007713215
INSRR	0	0	0	0	0	0.001586671	0	0	0	0	0	0.001221343	0.000975662
PEAR1	0	0	0	0	0	0	0	0	0	0	0	0	0
LRRC71	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF11	0	0	0	0	0	0.000433864	0	0	0	0	0	0.000109695	0
ETV3L	0	0	0	0	0	0	0	0	0	0	0	0	0
ETV3	0.578594822	0.141770925	0.118514319	0.149611498	0.068206492	0.164526522	0.086069557	0.076912004	0.075699951	0.102486871	0.01890404	0.150012218	0.140669217
RP11-71G12.1	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-85G21.3	0	0	0	0	0	0	0	0	0	0	0	0	0
FCRL5	0	0	0	0.001883782	0	0.000608271	0	0	0	0	0	0.00117094	0.000353124
FCRL4	0	0	0	0	0	0.002178843	0	0	0	0	0	0.000404152	0
FCRL3	0.16240753	0.132547872	0.186758409	0.057337894	0.047385363	0.057409104	0.116575756	0.350979692	0.093932872	0.322467366	0.009420418	0.319996566	0.202793233
RP11-367J7.3	0	0	0	0.003881143	0	0.00046044	0	0	0	0	0	0.006111091	0.002158461
FCRL2	0	0	0	0	0	0.000489369	0	0	0	0.000993189	0	0.00080682	0.000692761
FCRL1	0	0	0	0	0.008612834	0.000623617	0	0.003343764	0	0	0	0.001408114	0.000762422
CD5L	0	0	0	0	0	8.68E-05	0	0	0	0	0	0	0
KIRREL	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-404O13.1	0	0	0	0	0	0	0	0	0	0	0	0.000262662	0
CD1D	0	0	0	0	0	0.000292688	0	0	0	0.000904068	0	0.00164295	9.02E-05
RP11-404O13.5	0	0	0	0	0	0.001221861	0	0	0	0	0	0.000779175	0
CD1A	0	0	0	0	0	0.000856618	0	0	0	0	0	0.000547927	0.000341973
CD1C	0	0	0	0	0	0.00151884	0	0.007634668	0	0.002712204	0	0.000618109	0.000655011
CD1B	0	0	0	0	0	0	0	0	0	0	0	0	0
CD1E	0	0	0	0	0	0.000440645	0	0	0	0.003058384	0	0.001131436	0.0003359
OR10T2	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10K1	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-144L1.4	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10R2	0	0	0	0	0	0	0	0	0	0	0	0	0
SPTA1	0	0	0	0	0	0	0	0	0	0	0	0	0
OR6K3	0	0	0	0	0	0	0	0	0	0	0	0	0
MNDA	0	0	0	0.007970059	0	0.004021106	0.007364257	0	0	0.001652445	0	0.00352403	0.003919717
PYHIN1	2.178308155	0.856154247	0.321025774	0.662957986	0.101228251	0.346354619	0.901206642	1.397143919	0.741657784	1.143384725	0.300077132	0.956471977	0.710861177
IFI16	1.408705735	0.861862075	0.505995619	0.946227998	0.399067793	0.665031728	0.778362402	0.904688588	0.646521903	0.896671489	0.996223352	0.797491923	0.705651325
AIM2	0.040759503	0	0	0.01731593	0	0.013015213	0.034825084	0	0	0.006202844	0	0.009836163	0.004448244
CADM3	0	0	0	0	0	0	0	0	0	0	0	0	0
CADM3-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACKR1	0	0	0	0	0	0	0	0	0	0	0	0	0
FCER1A	0	0	0	0	0	0.000555323	0	0.005313868	0	0.003328907	0	0.003964878	0.001858662
RP11-550P17.5	0	0	0	0	0	0	0	0	0	0	0	0	0
