	Fibroblast.c01.MYH11	Fibroblast.c02.ADAMDEC1	Fibroblast.c03.COL15A1	Fibroblast.c04.LRRC15	Fibroblast.c05.PI16	Fibroblast.c06.ADH1B	Fibroblast.c07.IL6	Fibroblast.c08.RGS5	Fibroblast.c09.CTNNB1	Fibroblast.c10.PRG4	Fibroblast.c11.HOPX	Fibroblast.c12.MSLN	Fibroblast.c13.HGF	Fibroblast.c14.HSPA6	Fibroblast.c15.SOX6	Fibroblast.c16.SFRP2	Fibroblast.c17.STMN1	Fibroblast.c18.HHIP	Fibroblast.c19.MMP1	Fibroblast.c20.CD74
CDC73	4.598168871	0.203020134	0.197329996	0.389309475	0.323949493	0.778476041	0.37755102	4.044501774	0.143851508	0.5	1.420424403	0.307692308	8.029850746	0.357594937	0.31641286	0.521939954	0.195402299	0.463414634	0.452054795	1.768361582
CDCA5	0.156663276	0.013422819	0.000834376	0.019270475	0.002897951	0.000785546	0.020408163	0.041115769	0.004640371	0	0.00795756	0	0	0.003955696	0.005076142	0.009237875	0.022988506	0.024390244	0.014554795	0.005649718
CDCA7	0.48474059	0.016778523	0.006257822	0.018123423	0.001655972	0.00392773	0	1.109480813	0.011600928	0	0.021220159	0.025641026	6.089552239	0.019778481	0.037225042	0.002309469	0.945402299	0.012195122	0.014554795	2.90960452
CDCA7L	0.743641913	0.010067114	0.042553191	0.07203487	0.08528255	0.056559309	0.071428571	0.992099323	0.016241299	0.5	0.055702918	0.051282051	0.074626866	0.056170886	0.027072758	0.099307159	0.215517241	0.085365854	0.059075342	0.04519774
CDCA8	0.046286877	0.006711409	0.002503129	0.019729296	0.004346926	0.000785546	0.030612245	0.186875202	0.002320186	0	0.24535809	0	0.029850746	0.003164557	0.003384095	0.016166282	0.017241379	0.036585366	0.01369863	0
CDCP2	0	0	0.000417188	0.00022941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH10	0	0	0.012932833	0	0.052577106	0.013354281	0	0	0	0	0.00265252	0	0	0.002373418	0	0.002309469	0	0	0	0.005649718
CDH23	0.003560529	0.001677852	0.01126408	0.034640973	0.01883668	0.020424195	0.051020408	0.01144792	0.004640371	0.5	0.039787798	0.025641026	0.014925373	0.016613924	0	0.090069284	0.002873563	0	0.018835616	0.028248588
CDH24	0.005595117	0.005033557	0.004171882	0.035788025	0.002276961	0.002356638	0.010204082	0.031763947	0.013921114	0	0.034482759	0.025641026	0	0.011867089	0.027072758	0.030023095	0.00862069	0.024390244	0.035958904	0.011299435
CDH3	0.026449644	0.003355705	0.004171882	0.036017435	0.000206996	0.002356638	0.020408163	0.018219929	0.011600928	0	0.038461538	0.025641026	0	0.011075949	0.003384095	0.034642032	0.057471264	0.012195122	0.009417808	1.378531073
CDH6	20.97609359	0.030201342	0.002503129	0.127781601	0.002897951	0.058130401	0.040816327	16.91051274	0.064965197	0	0.836870027	0	4.044776119	0.060917722	0.079526227	0.034642032	0.051724138	0.426829268	0.04880137	2.97740113
CDHR2	0.002543235	0	0.001668753	0.00022941	0.002897951	0.001571092	0.010204082	0.001128668	0	0	0	0	0	0.000791139	0.00676819	0.002309469	0.002873563	0	0	0
CDHR3	0.118006104	0.043624161	0.025448477	0.008717596	0.024839578	0.016496465	0.010204082	0.125120929	0.006960557	0	0.01061008	0	0	0.015031646	0.020304569	0.023094688	0.014367816	0.048780488	0.012842466	0.016949153
CDHR4	0.009664293	0	0.003337505	0.000917642	0.011798799	0.002356638	0	0.000322477	0.002320186	0	0	0	0	0	0	0	0	0	0	0
CDK11A	0.507629705	0.124161074	0.080934501	0.160587291	0.092320431	0.075412412	0.153061224	0.419380845	0.055684455	0	0.192307692	0.102564103	0.52238806	0.112341772	0.153976311	0.180138568	0.129310345	0.158536585	0.211472603	0.418079096
CDK11B	1.375381485	0.151006711	0.119733	0.327827483	0.138066653	0.219952867	0.142857143	1.050467591	0.113689095	0.5	0.344827586	0.333333333	0.28358209	0.238924051	0.219966159	0.300230947	0.658045977	0.329268293	0.341609589	0.700564972
CDK12	1.772634791	0.236577181	0.169795578	0.384721266	0.213206375	0.150824823	0.37755102	1.521767172	0.160092807	0.5	0.932360743	0.205128205	0.447761194	0.267405063	0.235194585	0.318706697	0.149425287	0.365853659	0.45890411	0.677966102
CDK15	0.468463886	0.003355705	0.005423446	0.025923377	0.013661768	0.006284368	0.010204082	0.109158336	0	0	0.00795756	0	0	0.006329114	0	0.009237875	0.002873563	0.012195122	0.005993151	0
CDK18	1.785859613	0.035234899	0.031289111	0.022941042	0.008486856	0.03299293	0.010204082	0.388423089	0.020881671	0	0.050397878	0.076923077	0.23880597	0.065664557	0.025380711	0.034642032	0.022988506	0.012195122	0.057363014	0.039548023
CDK19	0.212614446	0.077181208	0.050479766	0.161275522	0.04823018	0.056559309	0.081632653	0.535794905	0.048723898	0	0.160477454	0.051282051	0.313432836	0.105221519	0.086294416	0.113163972	0.048850575	0.134146341	0.184931507	0.124293785
CDK2	0.853509664	0.077181208	0.065915728	0.14338151	0.083212585	0.039277298	0.142857143	0.894550145	0.041763341	0	0.312997347	0.076923077	3.28358209	0.159018987	0.125211506	0.101616628	1.189655172	0.134146341	0.179794521	0.06779661
CDK5	1.440488301	0.053691275	0.050896955	0.255333792	0.066859863	0.105263158	0.102040816	0.641083521	0.03712297	0.5	0.320954907	0.076923077	0.223880597	0.119462025	0.091370558	0.200923788	0.129310345	0.182926829	0.296232877	0.101694915
CDK5R2	0	0.001677852	0	0.000458821	0	0	0	0	0	0	0.00132626	0	0	0	0	0	0	0	0.000856164	0.005649718
CDK5RAP3	3.420651068	0.325503356	0.360033375	0.540949759	0.432415649	0.310290652	0.459183673	3.056594647	0.171693735	0.5	1.144562334	0.358974359	8.373134328	0.566455696	0.338409475	0.508083141	0.347701149	0.317073171	0.505136986	3.723163842
CDK7	1.53051882	0.058724832	0.061743846	0.186740078	0.096253364	0.059701493	0.153061224	0.887294421	0.039443155	0	0.383289125	0.128205128	0.059701493	0.087025316	0.087986464	0.140877598	0.066091954	0.231707317	0.154965753	0.09039548
CDKL2	0.003051882	0	0.00458907	0.001835283	0.002483958	0.006284368	0	0.001289906	0.002320186	0	0	0	0.014925373	0.002373418	0	0	0.005747126	0.012195122	0.003424658	0
CDKL4	0.000508647	0	0.000417188	0.001376462	0	0	0	0.002579813	0	0	0	0	0	0.000791139	0.003384095	0	0.002873563	0	0.001712329	0.005649718
CDKN1A	22.14191251	1.478187919	3.899874844	2.479926589	7.773338853	0.827965436	17.60204082	18.61528539	0.983758701	1.5	4.193633952	8.923076923	22.89552239	7.665348101	3.678510998	3.131639723	1.640804598	2.426829268	4.568493151	4.440677966
CDKN1B	1.480671414	0.152684564	0.273675428	0.32048635	0.276754295	0.222309505	0.173469388	1.521767172	0.090487239	0	0.641909814	0.282051282	3.23880597	0.415348101	0.225042301	0.448036952	0.175287356	0.231707317	0.351883562	0.282485876
CDKN2AIPNL	1.758901322	0.105704698	0.126825198	0.285845377	0.247774788	0.188531029	0.102040816	1.290712673	0.051044084	0.5	0.343501326	0.282051282	0.402985075	0.154272152	0.197969543	0.247113164	0.58908046	0.219512195	0.301369863	0.220338983
CDKN2B-AS1	0.067650051	0.006711409	0.005006258	0.004358798	0.007865866	0.005498822	0.010204082	0.115769107	0.002320186	0	0.013262599	0	2.164179104	0.004746835	0.011844332	0.018475751	0.005747126	0	0.004280822	0.011299435
CDKN2C	3.127670397	0.17114094	0.28660826	0.177104841	0.493065618	0.237234878	0.12244898	1.473879394	0.046403712	0	0.417771883	0.205128205	6.656716418	0.204113924	0.162436548	0.54965358	0.117816092	0.317073171	0.156678082	0.214689266
CDON	0.149542218	0	0.287025448	0.018811654	0.202649555	0.167321288	0.234693878	0.214124476	0.023201856	0	0.031830239	0.179487179	0.746268657	0.095727848	0.001692047	0.217090069	0.014367816	0.012195122	0.02140411	1.299435028
CDR1	0.082400814	0.036912752	0.062161035	0.247304428	0.112813082	0.055773763	0.112244898	0.047242825	0.071925754	1	0.25862069	0.102564103	0.074626866	0.106803797	0.028764805	0.168591224	0.028735632	0.036585366	0.238013699	0.062146893
CDR2	0.135300102	0.070469799	0.107634543	0.247075017	0.130821776	0.068342498	0.265306122	0.642695905	0.064965197	0	0.452254642	0.179487179	0.164179104	0.329113924	0.096446701	0.187066975	0.048850575	0.109756098	0.191780822	0.084745763
CDS2	16.83367243	0.14261745	0.165623696	0.288598302	0.213827365	0.28358209	0.183673469	10.1317317	0.099767981	0	1.469496021	0.205128205	13.74626866	0.220727848	0.279187817	0.808314088	0.129310345	0.390243902	0.36130137	0.762711864
CEBPB-AS1	0.307731434	0.006711409	0.00458907	0.001835283	0.005588905	0.018853103	0	0.229280877	0	0	0.033156499	0	0.119402985	0.014240506	0.00676819	0.006928406	0.002873563	0	0	0.04519774
CEBPD	11.97253306	5.580536913	5.255736337	4.161963753	4.688470296	1.788688138	14.65306122	13.36649468	1.245939675	2	5.119363395	8.384615385	18.91044776	8.740506329	7.263959391	6.856812933	2.606321839	3.646341463	10.55736301	7.429378531
CEBPZ	2.655137335	0.223154362	0.22110972	0.380133058	0.216518319	0.340141398	0.653061224	1.845856175	0.129930394	0	0.701591512	0.615384615	4.298507463	0.34335443	0.358714044	0.445727483	0.344827586	0.329268293	0.499143836	2.610169492
CECR3	0	0	0.000417188	0	0	0	0	0.000806192	0	0	0	0	0	0	0	0	0	0	0	0
CELA2A	0	0	0	0.00022941	0	0	0	0.00096743	0	0	0	0	0	0	0	0	0	0	0	0
CELA2B	0.008646999	0	0	0.00022941	0.000206996	0	0	0.010802967	0	0	0	0	0.76119403	0	0	0	0	0	0	0
CELA3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELA3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELF2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELF3	0.002543235	0	0	0	0	0	0	0.000322477	0	0	0	0	0	0.000791139	0	0	0	0	0	0
CELSR2	1.143947101	0	0.003337505	0.015829319	0.001448975	0.004713276	0.010204082	1.092873267	0.016241299	0	0.021220159	0.025641026	0	0.007120253	0	0.002309469	0.020114943	0.024390244	0.004280822	0.265536723
CELSR3	0.001017294	0.001677852	0.000417188	0.004358798	0.001034982	0.052631579	0	0.033860045	0.004640371	0	0.00265252	0	0.014925373	0.003955696	0	0.009237875	0.229885057	0	0.004280822	0
CENPA	0.150050865	0.003355705	0.009595327	0.021564579	0.003932933	0.010997643	0.051020408	0.17268623	0.002320186	0	0.026525199	0	0.328358209	0.009493671	0.010152284	0.071593533	0.045977011	0.048780488	0.007705479	0.028248588
CENPCP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CENPE	0.41353001	0.008389262	0.005006258	0.053682037	0.008486856	0.005498822	0.030612245	0.199613028	0.009280742	0	0.018567639	0	0	0.007120253	0.025380711	0.03926097	0.045977011	0.12195122	0.032534247	0.02259887
CENPF	0.196846389	0.02852349	0.015018773	0.11608167	0.012005796	0.010212097	0.091836735	0.366978394	0.03712297	0	0.051724138	0.051282051	0.104477612	0.018196203	0.049069374	0.066974596	0.117816092	0.219512195	0.063356164	0.04519774
CENPK	0.194303154	0.015100671	0.004171882	0.070658408	0.013040778	0.003142184	0.010204082	0.246049661	0.011600928	0	0.064986737	0.025641026	0.029850746	0.014240506	0.023688663	0.034642032	0.020114943	0.024390244	0.071917808	0.011299435
CENPL	0.241607325	0.010067114	0.017521902	0.034182152	0.021734631	0.18067557	0.030612245	0.319574331	0.009280742	0	0.046419098	0	0.955223881	0.028481013	0.023688663	0.03926097	0.034482759	0.012195122	0.050513699	0.016949153
CENPO	3.261444557	0.010067114	0.009178139	0.046799725	0.01883668	0.029850746	0	2.610609481	0.009280742	0.5	0.176392573	0	0.925373134	0.019778481	0.008460237	0.030023095	0.011494253	0.048780488	0.037671233	0.028248588
CENPQ	0.75076297	0.041946309	0.032540676	0.064923148	0.05940799	0.058915947	0.071428571	0.225088681	0.025522042	0	0.047745358	0.051282051	1.268656716	0.045094937	0.059221658	0.034642032	0.037356322	0.097560976	0.077054795	0.033898305
CEP104	1.272634791	0.072147651	0.112223613	0.215186969	0.095632374	0.048703849	0.081632653	0.943244115	0.044083527	0	1.070291777	0.230769231	0.044776119	0.28085443	0.099830795	0.129330254	0.465517241	0.280487805	0.220890411	1.028248588
CEP112	1.976093591	0.068791946	0.101793909	0.20463409	0.07762368	0.068342498	0.204081633	0.998226379	0.048723898	0	1.226790451	0.076923077	4.537313433	0.147943038	0.115059222	0.180138568	0.077586207	0.12195122	0.151541096	1.305084746
CEP135	1.202441506	0.043624161	0.045890697	0.128699243	0.042227282	0.103692066	0.020408163	0.797807159	0.03712297	0	0.448275862	0.076923077	3.567164179	0.075949367	0.059221658	0.080831409	0.060344828	0.158536585	0.142979452	0.429378531
CEP170	3.732451679	0.186241611	0.334584898	0.598990594	0.372386669	0.879811469	0.306122449	3.20993228	0.180974478	1	1.787798408	0.538461538	14.55223881	1.051424051	0.275803723	0.533487298	0.227011494	0.341463415	0.567636986	4.344632768
CEP19	0.257884028	0.030201342	0.030454735	0.063317275	0.036224384	0.099764336	0.040816327	0.36165753	0.002320186	0	0.096816976	0.025641026	0.014925373	0.046677215	0.035532995	0.076212471	0.040229885	0.012195122	0.109589041	0.062146893
CEP250	2.05595117	0.026845638	0.036295369	0.109887589	0.043469261	0.039277298	0.06122449	1.686230248	0.039443155	0	0.098143236	0.076923077	5.701492537	0.064082278	0.037225042	0.064665127	0.557471264	0.109756098	0.107020548	1.231638418
CEP350	4.209562564	0.286912752	0.240717564	0.600596467	0.331815359	0.2136685	0.5	3.326830055	0.178654292	0.5	0.905835544	0.256410256	11.35820896	0.44778481	0.253807107	0.473441109	0.158045977	0.402439024	0.697773973	0.316384181
CEP41	0.590539166	0.041946309	0.040467251	0.173204864	0.057131029	0.259230165	0.091836735	0.876491454	0.025522042	0	0.201591512	0.102564103	0.119402985	0.069620253	0.072758037	0.124711316	0.048850575	0.146341463	0.127568493	0.847457627
CEP44	0.965920651	0.092281879	0.093450146	0.103693508	0.10060029	0.426551453	0.06122449	0.890196711	0.025522042	0.5	0.198938992	0.128205128	0.23880597	0.154272152	0.081218274	0.064665127	0.028735632	0.146341463	0.093321918	0.079096045
CEP68	3.860630722	0.129194631	0.134334585	0.137646249	0.149865452	0.273369992	0.112244898	2.446146404	0.041763341	0	0.880636605	0.128205128	3.985074627	0.292721519	0.125211506	0.200923788	1.295977011	0.231707317	0.151541096	2.706214689
CEP70	0.831637843	0.070469799	0.057154777	0.067905483	0.073897744	0.047132757	0.071428571	0.660915834	0.027842227	0.5	0.108753316	0.179487179	10.65671642	0.22943038	0.065989848	0.090069284	0.057471264	0.06097561	0.073630137	0.288135593
CEP85	0.110885046	0.001677852	0.012932833	0.019270475	0.01531774	0.008641005	0	0.173492422	0	0	0.013262599	0	0	0.015822785	0.008460237	0.018475751	0.00862069	0	0.015410959	0.005649718
CEP85L	3.482706002	0.451342282	0.123070505	0.164716678	0.197267646	0.258444619	0.204081633	4.150435343	0.07424594	1	0.407161804	0.128205128	8.194029851	0.262658228	0.351945854	0.154734411	0.586206897	0.231707317	0.223458904	1.451977401
CEP97	1.133265514	0.041946309	0.038798498	0.086487727	0.040778307	0.024351925	0.081632653	1.381973557	0.023201856	0	0.421750663	0.076923077	11.20895522	0.212025316	0.069373942	0.062355658	0.025862069	0.06097561	0.085616438	0.790960452
CEPT1	2.495930824	0.132550336	0.098039216	0.126175728	0.121092941	0.116260801	0.132653061	1.368913254	0.023201856	0	0.107427056	0.128205128	4.895522388	0.106012658	0.111675127	0.124711316	0.117816092	0.097560976	0.125	0.101694915
CERS2	4.298067141	0.270134228	0.454317897	0.56343198	0.542123784	0.299293009	0.673469388	3.137858755	0.102088167	0	1.733421751	0.538461538	21.59701493	0.571993671	0.424703892	0.676674365	0.284482759	0.451219512	0.679794521	2.011299435
CERS6	0.190742625	0.219798658	0.078848561	0.214728149	0.021941627	0.105263158	0.06122449	1.097710416	0.051044084	0.5	0.26127321	0.256410256	2.701492537	0.308544304	0.253807107	0.420323326	0.41954023	0.158536585	0.147260274	0.610169492
CERS6-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CES5A	0.000508647	0	0	0	0.000413993	0	0	0.000161238	0	0	0	0	0	0	0.001692047	0	0	0	0	0
CETN3	1.397253306	0.139261745	0.174384647	0.169763707	0.237217967	0.120188531	0.12244898	1.37407288	0.055684455	0	0.183023873	0.102564103	1.388059701	0.235759494	0.170896785	0.25404157	0.267241379	0.158536585	0.169520548	0.728813559
CFAP100	0	0	0	0	0.000413993	0	0	0	0	0	0	0	0	0	0	0	0.002873563	0	0.000856164	0
CFAP36	4.880467955	0.260067114	0.321234877	0.737783895	0.38294349	0.208955224	0.612244898	3.258787488	0.162412993	1.5	1.563660477	0.435897436	3.447761194	0.465981013	0.44500846	0.635103926	0.385057471	0.475609756	0.88869863	0.920903955
CFAP70	0.134282808	0.010067114	0.008343763	0.005964671	0.006416891	0.00785546	0.010204082	0.111093196	0.004640371	0	0.042440318	0	0	0.01028481	0.010152284	0.002309469	0.040229885	0	0.004280822	0.005649718
CFAP97	3.281790437	0.312080537	0.254067584	0.62973159	0.351480025	0.294579733	0.56122449	2.918735892	0.139211137	0.5	1.286472149	0.333333333	7.701492537	0.318037975	0.424703892	0.630484988	0.143678161	0.426829268	0.567636986	2.327683616
CFB	1.826042726	0.276845638	0.551522737	0.195687084	1.089215483	1.198743126	1.551020408	2.971460819	0.071925754	0.5	1.74668435	1.692307692	13.53731343	0.746835443	0.47715736	2.187066975	0.051724138	0.365853659	0.707191781	2.440677966
CFC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFH	20.95829095	5.169463087	7.378806842	2.145675614	4.179465949	12.64336214	4.183673469	25.68977749	0.719257541	3.5	40.29442971	2.076923077	746.5373134	6.657436709	2.181049069	25.04157044	0.436781609	1.731707317	3.275684932	87.98305085
CFHR1	0.058494405	0.001677852	0.004171882	0.000688231	0.000827986	0.006284368	0	0.067397614	0	0	0.035809019	0	0.52238806	0.003955696	0.001692047	0.087759815	0.00862069	0	0	0.107344633
CFHR2	0.006612411	0	0	0	0	0	0	0.00096743	0	0	0.00397878	0	0	0	0	0	0	0	0	0
CFHR3	0.074771109	0.003355705	0.006257822	0.001605873	0.000827986	0.014139827	0	0.070461142	0	0	0.068965517	0	2.223880597	0.011867089	0.005076142	0.069284065	0.002873563	0	0.000856164	0.124293785
CFHR4	0.003051882	0	0	0	0	0	0	0.001128668	0	0	0	0	0	0	0	0	0	0	0	0
CFHR5	0	0	0	0	0	0.000785546	0	0.000161238	0	0	0	0	0	0	0	0	0	0	0	0
CFL2	10.87436419	0.218120805	0.326241135	0.464785501	0.810391223	1.063629222	0.285714286	4.144308288	0.085846868	0	0.583554377	0.307692308	1.373134328	0.244462025	0.37394247	0.591224018	2.152298851	1.695121951	0.378424658	1.163841808
CFLAR	4.762970498	0.484899329	0.341259908	0.511814636	0.41999586	1.092694423	0.908163265	4.632054176	0.238979118	0.5	2.034482759	0.58974359	45.67164179	0.484968354	0.524534687	0.72517321	0.264367816	0.548780488	0.918664384	1.446327684
CFLAR-AS1	0.488301119	0.001677852	0.020859408	0.004358798	0.001448975	0.018853103	0	0.454530797	0.002320186	0	0.183023873	0	4.194029851	0.000791139	0.003384095	0.057736721	0	0	0.006849315	0
CFP	0.002543235	0	0.000834376	0.001376462	0.002276961	0.001571092	0	0.005643341	0.006960557	0	0.0066313	0	0	0.003955696	0.005076142	0.004618938	0	0	0.008561644	0.04519774
CGREF1	0.138860631	0.005033557	0.051731331	0.062858454	0.043469261	0.017282011	0.030612245	0.026765559	0.006960557	0.5	0.135278515	0	0.28358209	0.064082278	0	0.200923788	0.011494253	0.024390244	0.014554795	0.073446328
CHAC2	0.068667345	0.001677852	0.008760951	0.017894012	0.017180708	0.006284368	0	0.134956466	0.002320186	0	0.00530504	0.025641026	0.029850746	0.01028481	0.008460237	0.006928406	0.017241379	0	0.023116438	0
CHAF1B	0.164292981	0.011744966	0.009178139	0.031199816	0.015938729	0.123330715	0	0.170590132	0.020881671	0	0.216180371	0.051282051	0.014925373	0.121044304	0.005076142	0.020785219	0.025862069	0	0.031678082	0.101694915
CHCHD2	25.25381485	2.167785235	3.296203588	7.654737325	5.490167667	3.723487824	6.846938776	22.47339568	1.559164733	20.5	11.10212202	5.974358974	26.74626866	5.121835443	4.140439932	6.810623557	6.718390805	6.158536585	8.306506849	5.785310734
CHCHD3	5.089013225	0.213087248	0.305381727	0.650149117	0.443386462	0.523959152	0.489795918	3.533860045	0.164733179	2	1.446949602	0.615384615	6.597014925	0.412974684	0.340101523	0.524249423	0.287356322	0.536585366	0.71489726	0.378531073
CHCHD4	0.25584944	0.053691275	0.077596996	0.12709337	0.091699441	0.051060487	0.102040816	0.32634634	0.032482599	0	0.129973475	0.128205128	0.119402985	0.211234177	0.096446701	0.115473441	0.83908046	0.182926829	0.159246575	0.13559322
CHD1L	1.65768057	0.102348993	0.143095536	0.240880936	0.158973297	0.107619796	0.12244898	1.460657852	0.051044084	0	0.98806366	0.256410256	2.208955224	0.188291139	0.118443316	0.170900693	1.140804598	0.219512195	0.223458904	0.621468927
CHD4	6.335198372	0.276845638	0.311639549	0.93943565	0.339681225	0.837391987	0.469387755	5.084972589	0.30162413	1	2.50132626	0.666666667	18.01492537	1.213607595	0.461928934	1.337182448	1.048850575	0.817073171	0.940924658	1.175141243
CHD5	0.00508647	0	0.000417188	0	0	0	0	0.00096743	0	0	0.00265252	0	0	0	0	0.002309469	0	0	0.002568493	0
CHD7	0.369277721	0.023489933	0.014184397	0.054829089	0.019043676	0.00785546	0.06122449	0.685262818	0.032482599	0	0.561007958	0	0.343283582	0.046677215	0.047377327	0.016166282	0.07183908	0.036585366	0.059931507	0.689265537
CHD8	3.760427263	0.16442953	0.121401752	0.296627667	0.136824674	0.873527101	0.091836735	2.767978072	0.076566125	0	0.465517241	0.179487179	3.731343284	0.167721519	0.153976311	0.256351039	0.494252874	0.207317073	0.315068493	0.310734463
CHI3L1	0.844354018	0.535234899	1.179390905	0.440926818	0.093562409	0.307148468	1.540816327	0.201709126	0.218097448	0	0.220159151	3.076923077	1.164179104	1.612341772	2.480541455	0.847575058	0.712643678	0.195121951	2.901541096	5.966101695
CHI3L2	0.033062055	0.077181208	0.135586149	0.022941042	0.080314635	0.373919874	2.928571429	0.009190584	0.032482599	0	0.029177719	0.307692308	2.164179104	0.557753165	0.023688663	0.494226328	0.00862069	0.036585366	0.538527397	1.169491525
CHIA	0	0.005033557	0.000417188	0	0.000620989	0	0	0.000161238	0	0	0	0	0	0	0	0	0	0	0	0
CHM	1.842828077	0.100671141	0.129745515	0.219086947	0.157731319	0.098193244	0.183673469	1.095614318	0.053364269	0	1.171087533	0.179487179	6.417910448	0.303797468	0.189509306	0.17551963	0.077586207	0.182926829	0.257705479	0.163841808
CHML	0.081892167	0.015100671	0.005423446	0.062170223	0.008279859	0.006284368	0.051020408	0.240083844	0.030162413	0	0.054376658	0.051282051	0.223880597	0.026898734	0.069373942	0.043879908	0.017241379	0.012195122	0.046232877	0
CHMP2B	3.024923703	0.310402685	0.363788068	0.689378298	0.43117367	0.393558523	0.663265306	2.38648823	0.129930394	2.5	0.925729443	0.692307692	4.029850746	0.586234177	0.455160745	0.861431871	0.281609195	0.5	0.721746575	1.163841808
CHMP3	9.105798576	0.424496644	0.603254068	1.009405827	0.759263093	0.892380204	0.918367347	6.858594002	0.222737819	0	2.018567639	1.025641026	24.37313433	0.977056962	0.768189509	0.884526559	0.350574713	1.036585366	1.08390411	0.813559322
CHN1	3.397253306	0.241610738	0.088861076	1.378756596	0.103084248	0.127258445	0.591836735	4.687358916	0.3387471	0.5	1.137931034	0.384615385	0.23880597	0.839398734	0.429780034	0.346420323	0.33908046	0.768292683	2.230308219	0.502824859
CHPF	1.589521872	0.389261745	0.422611598	3.73503097	0.462844132	0.534171249	0.448979592	2.064172847	0.552204176	2.5	3.222811671	1	0.865671642	0.967563291	0.604060914	2.498845266	0.422413793	1.451219512	1.748287671	0.706214689
CHRDL1	0.034587996	0.003355705	0.880684189	0.054140858	1.40943904	0.637077769	1.469387755	0.054659787	0.025522042	0	0.462864721	0.487179487	0.119402985	0.266613924	0.00676819	2.542725173	0.025862069	0.036585366	0.009417808	0.271186441
CHRM3	0.112919634	0.003355705	0.022110972	0.003211746	0.112606086	0.019638649	0.010204082	0.321670429	0.004640371	0	0.0066313	0.025641026	1.492537313	0.005537975	0	0.011547344	0.020114943	0.012195122	0.002568493	0.632768362
CHRM4	0	0	0	0.004588208	0.000413993	0	0	0.000483715	0	0	0.00530504	0	0	0	0	0	0	0	0.001712329	0
CHRNA1	0	0.016778523	0	0.089699472	0	0.000785546	0.020408163	0.02579813	0.006960557	0	0.029177719	0	0	0.029272152	0.140439932	0.002309469	0.100574713	0.085365854	0.101027397	0
CHRNA10	0.003051882	0	0.002503129	0.001605873	0.003311944	0.000785546	0.040816327	0.041760722	0.002320186	0	0.00265252	0.025641026	0	0.007120253	0.005076142	0	0.002873563	0	0.006849315	0
CHRNA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHRNB2	0	0	0.000417188	0.000458821	0.000206996	0	0	0.001128668	0	0	0	0	0	0	0	0	0	0	0	0
CHRNB3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000856164	0
CHRND	0	0	0	0	0	0	0	0.000161238	0	0	0	0	0	0	0	0	0	0	0	0
CHRNG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHST10	0.729399797	0.016778523	0.044639132	0.073870154	0.023804595	0.014139827	0.051020408	0.471783296	0.011600928	0	1.033156499	0.025641026	0.014925373	0.049841772	0.025380711	0.085450346	0.014367816	0.073170732	0.071061644	0.04519774
CHST2	1.02543235	0.127516779	0.017104714	0.043817389	0.019250673	0.035349568	0.040816327	3.161399549	0.032482599	0	0.318302387	0.102564103	0.76119403	0.040348101	0.514382403	0.020785219	0.037356322	0.036585366	0.087328767	0.870056497
CHST7	1.375381485	0.286912752	0.105548602	0.064005506	0.193334713	0.094265515	0.142857143	1.117059013	0.020881671	0	0.161803714	0.153846154	1.343283582	0.071993671	0.196277496	0.071593533	0.034482759	0.146341463	0.096746575	1.265536723
CHSY3	0.226347915	0.02852349	0.019607843	0.153246157	0.015524736	0.016496465	0.081632653	0.309416317	0.020881671	0.5	0.087533156	0.076923077	7.701492537	0.048259494	0.060913706	0.101616628	0.034482759	0.146341463	0.089041096	0.039548023
CHTOP	5.738046796	0.216442953	0.276178557	0.566873136	0.338025254	0.304006284	0.37755102	4.620283779	0.104408353	0.5	1.99867374	0.153846154	21	0.551424051	0.338409475	0.47113164	0.304597701	0.43902439	0.604452055	1.93220339
CHUK	0.998474059	0.063758389	0.053400083	0.118834595	0.084661561	0.124901807	0.153061224	0.656078684	0.020881671	0	0.217506631	0.051282051	0.089552239	0.528481013	0.081218274	0.094688222	0.034482759	0.073170732	0.113013699	0.039548023
CIAO1	9.079857579	0.189597315	0.271172299	0.622849277	0.327882426	0.784760408	0.346938776	6.123186069	0.185614849	1	2.135278515	0.333333333	14.43283582	0.939873418	0.318104907	0.512702079	1.833333333	0.414634146	0.682363014	1.666666667
CIAPIN1	2.702441506	0.109060403	0.163954944	0.385180087	0.206375492	0.162608013	0.142857143	2.493227991	0.048723898	0.5	0.785145889	0.333333333	6.820895522	0.215189873	0.192893401	0.318706697	0.166666667	0.280487805	0.429794521	1.04519774
