	Macro.c01.C1QC	Macro.c02.FN1	Macro.c03.GPNMB	Macro.c04.IL1B	Macro.c05.INHBA	Macro.c06.ISG15	Macro.c07.LYVE1	Macro.c08.NLRP3	Macro.c09.SPP1
BZW1	0.492458998	0.663564315	0.537245108	0.584743504	0.859692418	0.702259752	0.54229636	0.947842524	0.788100195
CLK1	0.488693178	0.35640588	0.329641989	0.468222736	0.583090658	0.409264555	0.617605818	0.490633232	0.466600196
PPIL3	0.102170764	0.070992946	0.097824706	0.11329023	0.089744793	0.054527062	0.088539001	0.044586784	0.082904621
NIF3L1	0.043966376	0.030621939	0.044371808	0.044508118	0.037561099	0.028414448	0.046995934	0.011693097	0.030210826
ORC2	0.021833832	0.013264445	0.017834483	0.015438139	0.016874064	0.021394142	0.033660518	0.010243255	0.018866681
AC005037.3	0.005135077	0.008130865	0.006034915	0.00882889	0.00583116	0	0.004504288	0.001503317	0.001285825
FAM126B	0.050101533	0.043456035	0.035029285	0.033196614	0.050601359	0.042820083	0.062373261	0.059360843	0.05068405
NDUFB3	0.486419791	0.4158717	0.458813278	0.283807119	0.417254626	0.592994359	0.269735898	0.419165926	0.448208727
CFLAR	0.90832948	1.05437026	0.644762026	1.0969263	1.539634288	1.21405147	0.853279378	1.38140696	1.039237941
CFLAR.AS1	0.030503437	0.017214151	0.010482615	0.040286024	0.048930788	0.02104445	0.032066349	0.022541005	0.032078228
CASP10	0.055271342	0.030480168	0.043202927	0.043006888	0.047550281	0.049817928	0.076080826	0.036330408	0.046313535
CASP8	0.084717651	0.049041354	0.071674017	0.070056937	0.079878778	0.090253951	0.07081921	0.061744259	0.057397049
ALS2CR12	0.000536997	0.000792049	0.001247189	0.000467483	0.001374543	0.002067449	0.000343813	0.000903271	0.000122064
TRAK2	0.056110852	0.041202539	0.044250564	0.04198196	0.043457341	0.050380332	0.055328788	0.04254265	0.047711815
STRADB	0.054777678	0.035565419	0.046887244	0.05224029	0.035379465	0.036539277	0.038363291	0.023458777	0.05555737
TMEM237	0.010938468	0.01077669	0.01232672	0.010361019	0.007540395	0.005245538	0.005747802	0.003346328	0.009149794
ALS2	0.015129323	0.010183119	0.015564036	0.009868605	0.013195774	0.010647712	0.023621296	0.007319724	0.014661017
CDK15	0.000207289	0.000716085	0.000690656	0	0	0	0	0	0
FZD7	0.004314115	0.003549227	0.003507015	0.004690205	0.004595116	0.002836827	0.010678528	0.004133951	0.007003907
SUMO1	0.432285826	0.382046201	0.389117702	0.319806764	0.434019133	0.503062684	0.34553426	0.385705103	0.498971104
NOP58	0.183677264	0.210754884	0.236484234	0.20472391	0.230438906	0.199844386	0.228371115	0.154458	0.163221075
BMPR2	0.076972891	0.060335632	0.051635639	0.052117885	0.060941526	0.054928761	0.085724845	0.041318866	0.057514848
FAM117B	0.028745108	0.037713261	0.029299525	0.055455922	0.015640801	0.017777681	0.062132631	0.033612811	0.014069323
ICA1L	0.005009711	0.002998135	0.006401455	0.006071014	0.005421159	0.000782972	0.003962455	0.001882058	0.001653388
WDR12	0.036955353	0.029239416	0.036636155	0.025056456	0.022975291	0.034033965	0.033254703	0.015678033	0.02712216
CARF	0.018800203	0.005247147	0.016638949	0.012742302	0.010330184	0.007341114	0.020008671	0.00535345	0.00557184
NBEAL1	0.228817773	0.287725312	0.269749639	0.298523153	0.252311829	0.22429592	0.200456208	0.232460787	0.197862192
CYP20A1	0.159552463	0.164510087	0.151530037	0.168270066	0.139867033	0.140949817	0.216875729	0.101038885	0.136049409
ABI2	0.077558315	0.081888935	0.104777826	0.103305818	0.101672845	0.037379571	0.094647401	0.042105317	0.061371975
RAPH1	0.194395223	0.252256718	0.182522181	0.248963578	0.239098237	0.085158985	0.390204368	0.159271488	0.18256762
CD28	0.098382345	0.003046145	0.011545619	0.009767916	0.002444626	0.002647888	0.075193967	0.001144765	0.035016958
CTLA4	0.017172403	0.008003445	0.11929932	0.090222139	0.012362633	0.023355046	0.032870949	0.000483347	0.001921413
ICOS	0.001851886	0	0.000354028	0.000645959	0.003656335	0.00288805	0.002061438	0.002338908	0.000458034
NRP2	0.485972795	0.190441502	0.31679028	0.542831563	0.461853868	0.23355136	0.518849579	0.074856717	0.307201942
INO80D	0.05764908	0.051066289	0.046628797	0.049526425	0.055241768	0.056775182	0.076992573	0.061495186	0.060055071
AC007383.3	0.010735895	0.007486081	0.007691988	0.00994159	0.004028539	0.005989002	0.010360745	0.002628359	0.007998116
NDUFS1	0.091069919	0.081997886	0.080072936	0.084438274	0.079997473	0.084096557	0.106253539	0.057645179	0.076091046
EEF1B2	1.756271796	2.206338838	1.982527568	2.174196035	1.926724636	1.678833039	1.979987072	1.882355014	1.633085891
ZDBF2	0.010804045	0.014664055	0.011503052	0.008775428	0.022393118	0.008405548	0.007267057	0.005771681	0.00469356
FASTKD2	0.054421458	0.045392652	0.056651409	0.057492698	0.047192837	0.053791522	0.054863816	0.043023624	0.051400677
KLF7	0.166785127	0.094334778	0.096472918	0.239041383	0.106404764	0.071585003	0.312218699	0.082182369	0.102792549
AC007879.7	0.000162961	0.000955913	0	0.000502017	0.00063008	0	0.000532155	0.000936977	0.001339391
AC007879.5	0.001833988	0.000335155	0.000394397	0.000681202	0.001626572	0.003700614	0.004500977	0.002050069	0.001453316
CREB1	0.144027408	0.084270784	0.123196895	0.122064514	0.126353546	0.117056757	0.15845168	0.100147788	0.136412803
METTL21A	0.120414483	0.09499967	0.100335811	0.195147475	0.166268466	0.080665627	0.188809561	0.176935903	0.095934952
AC079767.4	0.039162232	0.012417566	0.036186256	0.026850579	0.008856	0.024577127	0.013520886	0.006160356	0.048548046
CCNYL1	0.048069103	0.038802178	0.031046135	0.049246343	0.043314864	0.052962763	0.050109509	0.043738529	0.047540842
FZD5	0.013707375	0.004146534	0.003800954	0.007575604	0.005756064	0.005107015	0.017370259	0.005739382	0.011254848
AC096772.6	0.004491872	0.001532394	0.00195795	0.004099827	0.002856479	0	0.005522903	0.00248084	0.002951582
PLEKHM3	0.009385919	0.004421354	0.009021437	0.008879814	0.009600496	0.009156788	0.016883854	0.005158378	0.007516235
IDH1	0.306582315	0.074273405	0.180187689	0.101410117	0.091731827	0.099898277	0.234959847	0.070039424	0.223304238
IDH1.AS1	0.007832358	0.004244396	0.008334941	0.003369487	0.004037648	0.000834969	0.004692651	0.003531522	0.00521259
PIKFYVE	0.084329932	0.060150698	0.061559793	0.053881936	0.08218979	0.053928198	0.102994358	0.066214541	0.066594781
PTH2R	0.003030095	0.000528491	0.002788587	0.003726346	0.001961696	0	0.001046901	0.000853888	0.000916663
RPE	0.10111444	0.061589365	0.098234558	0.07876276	0.063727946	0.081058338	0.083057345	0.026741261	0.06260551
KANSL1L	0.027698098	0.019635455	0.012602763	0.025161603	0.023778159	0.01538514	0.04924248	0.023038599	0.028892061
RP11.260M2.1	0.002181749	0.00158421	0.001412216	0.001069608	0.002401393	0.00120885	0.003439358	0.000656153	0.001548327
AC007038.7	0.001547112	0.003694508	0.001176894	0	0.000563716	0.001086722	0.002676847	0.000856791	0.00080084
AC006994.2	0.013048099	0.0048708	0.004360291	0.014668073	0.019378823	0.005970082	0.018756005	0.001725756	0.005840268
LANCL1	0.025163819	0.015818541	0.02495917	0.020518805	0.011007801	0.010301568	0.024749022	0.008600968	0.012538515
IKZF2	0.013864504	0.001172032	0.003343925	0.00947462	0.007540121	0.001801488	0.029454674	0.001217939	0.003258526
SPAG16	0.03245656	0.012856105	0.028715572	0.035534783	0.018809446	0.008988215	0.023125087	0.001400055	0.009328242
BARD1	0.037385117	0.026618347	0.036332169	0.032690986	0.030811806	0.04055371	0.036928023	0.019288688	0.023225849
ATIC	0.121747504	0.145490797	0.165254267	0.134934765	0.101261417	0.111815446	0.081393465	0.050314737	0.074814752
FN1	0.316974513	1.506646067	0.187993858	0.135226991	0.423913569	0.576684915	0.177336796	0.142926233	1.744014682
LINC00607	0.002010909	0.008077686	0.000410481	0.001006915	0.001998403	0.002964079	0.000961388	0.000672041	0.011680534
MREG	0.023930006	0.013236566	0.045176526	0.017497669	0.036879808	0.09058314	0.003374099	0.003156318	0.031394996
PECR	0.040979466	0.025547446	0.042061047	0.046498343	0.03669722	0.011904172	0.027787862	0.017803266	0.013020225
TMEM169	0.004216496	0	0.008292733	0.002952899	0.002117918	0	0.002816342	0.000216082	0
XRCC5	0.437660749	0.508374751	0.496650914	0.475757334	0.429398688	0.49795632	0.438229868	0.442641671	0.39808726
PKI55	0.001877005	0.001946044	0.001064003	0.001763928	0.001806837	0	0.002486739	0	0.000809737
SMARCAL1	0.037879682	0.026428475	0.031465739	0.03379975	0.024592379	0.025654581	0.033664975	0.013958388	0.032686338
RPL37A	2.005335796	2.196174918	1.943106795	2.084546473	2.154225322	2.053983679	2.022233069	2.477116673	1.909846742
IGFBP2	0.019692109	0	0.002692283	0.000215171	0.008208538	0.001057321	0.003635391	0.006094466	0.031169701
IGFBP5	0.001527235	0.001300724	0.001468268	0.002412225	0.001721499	0	0.006055883	0.001371554	0.002327266
DIRC3	0.001374795	0.001810385	0.003132149	0.006233919	0	0	0.003849883	0.001013284	0.000535818
TNS1	0.057678143	0.046392925	0.028069509	0.013942156	0.053147804	0.054800234	0.109621567	0.054091954	0.166867754
RUFY4	0.018305724	0.012025812	0.007998733	0.003560378	0.014985972	0.024493786	0.004918369	0.006150349	0.003978777
CXCR2	0.006446065	0.006692866	0.005471881	0.001919698	0.001501148	0.000630702	0.006269288	0.005645101	0.002456967
CXCR1	0.000324077	0	0	0	0	0	0.000953436	0.002372702	0
ARPC2	1.686697379	1.709177167	1.616591215	1.350624813	1.878120628	1.914127563	1.439946239	1.87555036	1.70783111
GPBAR1	0.049861458	0.079975867	0.02477984	0.029482734	0.023525131	0.127739384	0.048348786	0.092479161	0.025318788
AAMP	0.222860418	0.190877759	0.208626122	0.207124901	0.18352166	0.246000388	0.226669612	0.142034269	0.212932358
PNKD	0.280382866	0.233950785	0.24037464	0.211776079	0.180118508	0.212740397	0.215074764	0.219879655	0.25592866
TMBIM1	0.362513247	0.233632125	0.339940989	0.294725256	0.333929313	0.331142168	0.372262725	0.281623578	0.370907247
CATIP	0.011782693	0.01120442	0.009193485	0.004893827	0.015180768	0.008613443	0.011917301	0.019524688	0.017705226
SLC11A1	0.50222604	0.84632159	0.371124611	0.254135486	0.808957811	0.655439417	0.376267036	1.58780475	1.455611467
CTDSP1	0.171483299	0.189351135	0.163547437	0.175438936	0.120025255	0.185061211	0.201053162	0.307860744	0.211470131
USP37	0.085780733	0.098525274	0.078306998	0.084683253	0.096648774	0.044281071	0.11897988	0.10199234	0.072082582
RQCD1	0.095622305	0.071376923	0.101131075	0.091808386	0.096366911	0.088483356	0.092243771	0.069188069	0.075384391
ZNF142	0.019987191	0.01084656	0.017449348	0.014864437	0.011844593	0.007243533	0.021391606	0.012484362	0.011353457
BCS1L	0.038386836	0.033007989	0.041983658	0.030029291	0.028912652	0.023349901	0.046233006	0.012669856	0.02355395
RNF25	0.040466736	0.026064488	0.044963414	0.017315753	0.0185596	0.018839144	0.034863289	0.012164459	0.025111557
STK36	0.013358766	0.01154825	0.006440915	0.008395062	0.004918605	0.004083376	0.014639279	0.003916042	0.008143788
TTLL4	0.019865595	0.016289052	0.018440463	0.010860633	0.013508978	0.010497889	0.019723525	0.032321792	0.048126076
CYP27A1	0.093980435	0.043873346	0.072285562	0.027165103	0.018206544	0.081753839	0.032052522	0.132292874	0.820012704
WNT10A	0.000715585	0.00132846	0.000470898	0.001115832	0.001981377	0.00092175	0.000419739	0	0
NHEJ1	0.024925539	0.03129262	0.029340255	0.032052461	0.020082544	0.035753689	0.028907669	0.024193082	0.022558847
CNPPD1	0.184566115	0.154057841	0.209887608	0.211346883	0.203076774	0.170532421	0.187974269	0.126615623	0.138354173
FAM134A	0.106744068	0.089830286	0.099169663	0.097548887	0.047370288	0.094881512	0.103076335	0.061238005	0.078809728
ZFAND2B	0.110075923	0.079636071	0.106608436	0.101398691	0.092628619	0.087114287	0.113690235	0.082490807	0.101061646
ABCB6	0.001518831	0.000295851	0.001502605	0.000690119	0	0	0.001031334	0.00100025	0.001192599
ATG9A	0.036198953	0.020759804	0.024606687	0.023290257	0.026873199	0.021486917	0.035968063	0.02269176	0.027493144
ANKZF1	0.039856328	0.031981753	0.043896517	0.031662448	0.039856573	0.02122882	0.044351787	0.019144551	0.041412173
GLB1L	0.02572736	0.008581124	0.015319636	0.010255472	0.010430201	0.020411868	0.018466852	0.016070382	0.024186414
STK16	0.078838359	0.076952712	0.086837809	0.064620982	0.052698305	0.0756037	0.064817144	0.063510658	0.077742065
TUBA4A	0.039415947	0.082981088	0.022724428	0.025940614	0.119784217	0.131641708	0.030370359	0.136752164	0.102698661
DNAJB2	0.125869976	0.101707356	0.109290943	0.110824086	0.114717086	0.080867225	0.126338083	0.103406354	0.134991965
DNPEP	0.160838844	0.161326169	0.169267855	0.161737352	0.106921031	0.235893316	0.143924706	0.1091706	0.143579149
DES	0.001820138	0	0	0	0	0.001001454	0.042471984	0.005760709	0.001433222
SPEG	0.001362694	0.002733315	0.001802568	0.002078614	0.000503341	0.001875007	0.003362729	0.003864904	0.003185486
GMPPA	0.100028384	0.062745268	0.088421578	0.067442279	0.080241266	0.11704551	0.077212539	0.078840366	0.095772584
CHPF	0.011826117	0.001763183	0.007997923	0.008999808	0.00594176	0.001366997	0.005702353	0.001974424	0.010488772
OBSL1	0.013656688	0.001427267	0.013127108	0.024939012	0.002833062	0.000728406	0.022887656	0.000672373	0.00045794
STK11IP	0.034978497	0.028862151	0.026374861	0.03393395	0.03239979	0.031326436	0.040686669	0.033262318	0.025340824
SLC4A3	4.82E-05	0.000791357	0.000173078	0.001597029	0.00204399	0.000762645	0	0	0
EPHA4	0.00214052	0	0.001078257	0.002815552	0.001425085	0.002555502	0.004756204	0	0.000797381
RP11.384O8.1	0.002355722	0.001814233	0.001313178	0.000822798	0.0029208	0.000623521	0.00055971	0.007252171	0.002762911
SGPP2	0.00257857	0.004634391	0.001649854	0.001017634	0.009128631	0.013075363	0.001013936	0.010072855	0.00402112
FARSB	0.072076632	0.074152447	0.073243943	0.070120063	0.060683897	0.077150241	0.066822722	0.03789007	0.066423599
MOGAT1	0.004725116	0.010015553	0.001436009	0.010702347	0.01209939	0.002477055	0.007100721	0.012617677	0.011228924
ACSL3	0.323990978	0.735492191	0.446178403	0.474843441	0.359387815	0.368223552	0.438377375	0.594492803	0.558562378
SCG2	0	0	0	0	0	0	0.000673238	0	0
AP1S3	0.01346329	0.01582097	0.039233426	0.039726798	0.020006968	0.013060819	0.008562357	0.005882575	0.012792341
WDFY1	0.092540847	0.080539367	0.095072584	0.068205166	0.118277526	0.164631268	0.088514092	0.079967829	0.120602483
MRPL44	0.083116308	0.055953596	0.098886952	0.047602242	0.068596773	0.075269486	0.059864578	0.04088322	0.080378102
SERPINE2	0.001502781	0	0.001417957	0.001212219	0.000303667	0.001290196	0.002337157	0.00213972	0.002480862
FAM124B	0.003917909	0	0.00204075	0.002160439	0.001304249	0	0.008768816	0.001304663	0.001792619
CUL3	0.104048527	0.129905667	0.1345666	0.140360898	0.089413963	0.135798714	0.12762775	0.159825166	0.112081583
DOCK10	0.270640151	0.280783476	0.242973208	0.283026482	0.370528143	0.25425468	0.20894249	0.293693716	0.368472792
RHBDD1	0.039458884	0.035091118	0.034862824	0.045343728	0.033375937	0.041972091	0.041042924	0.028342786	0.028906955
MFF	0.287933626	0.231220464	0.272884607	0.271945674	0.253363859	0.278583616	0.288884743	0.246560455	0.396260076
AGFG1	0.106445098	0.111656884	0.067613618	0.074472058	0.129349201	0.192164313	0.236119515	0.398878492	0.268845759
CCL20	0.66954173	1.402988823	0.374487945	0.924442625	1.656750302	0.757299467	0.444974026	2.543689159	2.56852152
PID1	0.193243633	0.316169278	0.164727947	0.220713891	0.300643239	0.167693827	0.487638357	0.353536323	0.251697703
DNER	0.001586204	0	0	0.000937064	0.003196129	0.000528301	0.002007384	0.003211346	0.001690682
TRIP12	0.193550298	0.192114127	0.122722793	0.178501553	0.194819939	0.264016733	0.244947498	0.308961036	0.196830498
FBXO36	0.004235255	0.001828724	0.005793804	0.006739346	0.003460341	0.001384984	0.003081546	0.001387284	0.002130444
AC009950.2	0.010215085	0.006927424	0.011636907	0.010937463	0.018862989	0.006519807	0.005482295	0.002811518	0.001991636
SP110	0.249188465	0.189191269	0.239801988	0.246212452	0.241986382	0.420620709	0.165937484	0.131700583	0.144481154
SP140	0.056312075	0.04075386	0.042643421	0.046880635	0.098971246	0.127622202	0.03371313	0.04820873	0.072073295
SP140L	0.134320693	0.102756034	0.119928452	0.14938783	0.098915324	0.13187176	0.141604211	0.04313029	0.073426914
SP100	0.415317709	0.268524221	0.378135926	0.436409725	0.400851845	0.429788011	0.396515695	0.27619108	0.300884795
CAB39	0.199319414	0.181674632	0.174782892	0.192941285	0.121240743	0.162642899	0.27679944	0.16784472	0.160911381
ITM2C	0.15508232	0.04277307	0.157984175	0.202357017	0.093719456	0.018433635	0.141038255	0.01875249	0.020899092
GPR55	0.002251291	0.001478198	0.003651796	0.003530645	0.002728715	0.000647988	0.000396722	0.000482647	0
PSMD1	0.221774972	0.175258055	0.212470639	0.171560514	0.17737228	0.262530629	0.193181058	0.14689717	0.183708251
ARMC9	0.011639251	0.001829486	0.008520024	0.005514546	0.002142901	0.00230023	0.009270388	0.000344012	0.007174852
B3GNT7	0.040410274	0.00542407	0.028438411	0.012644997	0.018545451	0.007231505	0.01879359	0.003014703	0.008907593
NCL	0.886909555	1.031855075	1.019851579	1.119373604	0.895407639	0.898772738	1.049978895	0.754287111	0.842442551
LINC00471	0.002637661	0.000316505	0.001349882	0.002768232	0.003401492	0	0.003209414	0	0.000729931
PTMA	2.793741783	3.009669034	2.836513973	2.893354041	2.901372256	2.862990365	3.07767542	2.91520567	2.810435837
PDE6D	0.105476909	0.077448289	0.102484672	0.090504265	0.091220406	0.091630262	0.085922867	0.064926002	0.106604144
COPS7B	0.044490213	0.033433464	0.042352663	0.041851158	0.027892942	0.038273425	0.049675369	0.018919512	0.037143328
NPPC	0.002280925	0.001022913	0.001608317	0.002224032	0.00597471	0.002191604	0.002347409	0.000732638	0.000356368
DIS3L2	0.047259558	0.047046149	0.049429049	0.050145714	0.039291056	0.026050321	0.054906834	0.028337937	0.0332391
TIGD1	0.006982375	0.004215857	0.006201099	0.003196246	0.007050533	0.00369887	0.006947031	0.005251713	0.004531142
EIF4E2	0.297017756	0.34324226	0.312267821	0.230620594	0.32112161	0.505782925	0.228837564	0.418997913	0.367641524
AC073254.1	0.005868027	0.005604153	0.011731238	0.006368412	0.006246051	0.004357865	0.004436503	0.004649368	0.002688502
GIGYF2	0.094214768	0.103971685	0.096935961	0.102746381	0.086782319	0.074097733	0.115896822	0.090206642	0.082450583
INPP5D	0.265771922	0.226519963	0.222473714	0.280355596	0.185757891	0.161327329	0.291325009	0.136463123	0.122486126
ATG16L1	0.019193067	0.016617522	0.019039401	0.01817724	0.006827208	0.011755647	0.032644062	0.006459089	0.017565403
SAG	0.001265554	0.001002186	0.000563993	0.001108231	0.000691918	0	0.001623694	0.00222844	0
DGKD	0.068484666	0.144270445	0.06352556	0.075463759	0.096836627	0.089692375	0.124544147	0.163588316	0.089799582
USP40	0.034813297	0.022092174	0.02819169	0.032356926	0.019016861	0.019064802	0.041862903	0.015934958	0.029678224
HJURP	0.001010116	0.000747575	0.000351749	0.000467673	0.001312833	0	0	0	0.000283538
ARL4C	0.523591053	0.291641046	0.349156612	0.271782593	0.212944385	0.269313643	0.421128419	0.199516669	0.273430987
SH3BP4	0.025872056	0.154740577	0.067330933	0.098182165	0.068567926	0.032659929	0.038148105	0.017654131	0.034568092
AGAP1	0.004080958	0.002037727	0.00059799	0.002023086	0.002504369	0.001178075	0.006580365	0	0.001665277
ACKR3	0.069965279	0.110369451	0.032345099	0.055505527	0.034607917	0.025259301	0.026037603	0.051907586	0.419582121
COPS8	0.143962155	0.131789271	0.165660264	0.131578918	0.122963054	0.130465916	0.134592678	0.09390792	0.150778388
MLPH	0.006452798	0	0.003619468	0.001332865	0.001032407	0	0.000474071	0.001332927	0.009864617
RAB17	0.007859862	0.001306176	0.006298829	0.001352604	0.003979972	0.005848908	0.002046226	0.002297751	0.00507858
AC104667.3	0.000946587	0	0.000994306	0.000326571	0.000529998	0	0.000405201	0	0.000362372
LRRFIP1	0.882623769	1.041106696	0.945360185	0.894871316	1.268038785	1.045480173	0.989077607	1.343063329	1.018681627
RBM44	0.001947698	0.001978736	0.000891497	0.001581274	0.002572088	0.002512606	0.001631466	0.000455525	0.002873606
RAMP1	0.019171288	0.013613979	0.025768774	0.016707645	0.015611255	0.00787677	0.009456302	0.002315427	0.007417563
UBE2F	0.188284475	0.12158893	0.144917615	0.12191296	0.15995465	0.235264726	0.156449805	0.13555084	0.162446927
UBE2F.SCLY	0.00078557	0.000521561	0	0	0.000829595	0	0.00103868	0.00085745	0.001167466
SCLY	0.021303498	0.020950418	0.022664465	0.022786169	0.017389047	0.01732535	0.022902785	0.007213948	0.014265795
ILKAP	0.124054986	0.119787707	0.114716948	0.107038116	0.09527583	0.112535188	0.122416598	0.071175718	0.109698144
HES6	0.018077763	0.015915901	0.017204561	0.01795473	0.011212242	0.009069682	0.019492002	0.008164554	0.022313375
PER2	0.032866548	0.037017241	0.031502618	0.035201656	0.023169635	0.05727081	0.047331445	0.028920918	0.041228507
TRAF3IP1	0.010570136	0.007576203	0.008449272	0.00855631	0.005309819	0.006915955	0.009644381	0.004733463	0.00607369
ASB1	0.045619696	0.030434116	0.046826202	0.03315575	0.025879855	0.039615934	0.034332648	0.028112986	0.055720312
AC016999.2	0.000101499	0.000560063	0	0.00022702	0	0	0.000574736	0.000137804	0.000130198
TWIST2	0.001457951	0.001038327	0.000988823	0.001671194	0.005272183	0.000658025	0.002629715	0.001641056	0.000955002
HDAC4	0.027436383	0.041559177	0.019994387	0.024687867	0.04030063	0.051169467	0.036735795	0.095821532	0.063441488
AC062017.1	0.01313439	0.011597282	0.011196627	0.014893931	0.009417519	0.006039937	0.014794819	0.006015677	0.007804496
NDUFA10	0.271834072	0.292023546	0.324225155	0.311281863	0.229300214	0.261733621	0.271236227	0.231151601	0.235473019
MYEOV2	0.449564694	0.494271007	0.45033817	0.335008753	0.368140665	0.479249274	0.314600437	0.492752931	0.397846213
GPC1	0.001100667	0.001338597	0.001793889	0.000620206	0.000515779	0.000862963	0.001230908	0.000734587	0.000134172
ANKMY1	0.027652086	0.01494121	0.029353148	0.033302087	0.0169505	0.017872811	0.029617274	0.018689446	0.020376665
DUSP28	0.048607475	0.062654545	0.053069749	0.05625827	0.04705211	0.039629529	0.039127724	0.058600609	0.047713575
RNPEPL1	0.123277628	0.101523491	0.060926668	0.068524447	0.08279601	0.113118775	0.123099398	0.178090965	0.138270348
CAPN10.AS1	0.009972648	0.007430063	0.005825794	0.004179679	0.009666739	0.005249746	0.009601068	0.011063946	0.009680463
CAPN10	0.021884769	0.021678958	0.025299126	0.02159959	0.013663297	0.02433313	0.029016648	0.02168724	0.020835821
GPR35	0.067094498	0.154651373	0.108359263	0.070396373	0.136689166	0.190588004	0.023005076	0.239912013	0.083661883
SNED1	0.002237962	0.002602112	0.003599325	0.002327602	0.000220487	0.00056994	0.00237678	0.003347938	0.001896569
MTERF4	0.068238454	0.063169375	0.068041441	0.049998666	0.042614791	0.055140221	0.058694576	0.037120687	0.060812749
PASK	0.006952552	0.004147697	0.002282331	0.005835471	0.003915224	0.00890386	0.011658344	0.002695049	0.003299421
PPP1R7	0.242195403	0.234247131	0.249220588	0.190189755	0.185617451	0.248404031	0.169621725	0.183838558	0.221783711
ANO7	0.006167182	0.003373889	0.003769923	0.00440655	0.006753543	0.002778678	0.003754936	0.002505045	0.004128774
HDLBP	0.401210313	0.399429705	0.376558546	0.353057916	0.34475343	0.394584975	0.394522125	0.373104061	0.397397513
2-Sep	0.499238817	0.442299805	0.498516063	0.470247877	0.524614913	0.426043239	0.46302193	0.371217588	0.389036333
FARP2	0.066065418	0.059965733	0.062602262	0.094672688	0.055887838	0.086246044	0.081145852	0.033038484	0.050138334
STK25	0.130929248	0.120459062	0.128453351	0.11006548	0.102720234	0.124692402	0.127111412	0.100617984	0.130379837
THAP4	0.077805508	0.0600278	0.088976826	0.06732384	0.047762614	0.078828203	0.078713618	0.053627299	0.093319583
ATG4B	0.133088939	0.124712924	0.131176008	0.123569179	0.148340441	0.113398678	0.144127907	0.131613216	0.127091316
DTYMK	0.08556692	0.089117354	0.090013194	0.058258133	0.054793667	0.085307028	0.059129641	0.041440841	0.075559556
ING5	0.041517883	0.041705581	0.043269367	0.035950195	0.029367974	0.041180934	0.062347958	0.036809052	0.058842083
D2HGDH	0.053421156	0.035018017	0.031174628	0.04039091	0.038845258	0.035746744	0.064182223	0.040727179	0.045160861
AC114730.8	0.002557487	0.009798231	0.003680023	0.009326959	0.001947432	0.00576844	0.007204477	0.003635642	0.002924599
GAL3ST2	0.005167846	0.003494882	0.005178453	0.005127734	0.006832207	0.006848599	0.007598887	0.00587958	0.006972386
AC114730.3	0.00416286	0.003339344	0.000254523	0.002602472	0.002151732	0.002578215	0.006308077	0.010510321	0.002625967
NEU4	0.031139434	0.025239406	0.019220751	0.027777179	0.041728049	0.026907215	0.036896134	0.059075922	0.028453642
AC114730.2	0.006585977	0.00284085	0.005607111	0.010568553	0.009958975	0.01067174	0.010248586	0.008733899	0.01038189
PDCD1	0.014140871	0.008186327	0.017305195	0.011455738	0.009109717	0.008605124	0.004839523	0.002471362	0.005132771
AC093642.3	0.001068309	0	0.00047397	0.000219268	0.001166677	0	0.002567244	0.000910218	0.000347196
IL5RA	0.000527607	0	0.000746231	0	0	0	0	0	0
TRNT1	0.070805298	0.05579764	0.073758244	0.077232242	0.056221999	0.072136652	0.087952304	0.054033314	0.058472527
CRBN	0.123818081	0.077608073	0.093992255	0.101476086	0.068067166	0.092661476	0.148614884	0.067838206	0.086536654
RP11.97C16.1	0.000870611	0.000401464	0.000446574	0.000842532	0.000821245	0.000694893	0.001631619	0.002841831	0.000288643
SUMF1	0.146738038	0.134466348	0.181693654	0.176123109	0.113444614	0.116623205	0.1457192	0.08674988	0.131435072
SETMAR	0.011746134	0.007864368	0.010994157	0.007029654	0.007171873	0.007002591	0.010656008	0.00658215	0.009143007
ITPR1.AS1	0.002958991	0.001379347	0.003007467	0.003656692	0.005469797	0.004654103	0.004013741	0.001191351	0.001436314
ITPR1	0.098281956	0.170331534	0.128322918	0.160262071	0.175208595	0.091064154	0.078625213	0.092521352	0.085420061
EGOT	0.00915848	0.001320509	0.00244547	0.01239204	0.043467416	0.011091754	0.010157658	0.002642604	0.001696474
AC018816.3	0.006238305	0.002912238	0.003556493	0.003474389	0.009844087	0.008843255	0.00791475	0.01224835	0.006331919
BHLHE40.AS1	0.000682598	0.000623665	0.001632788	0.001584234	0.002730328	0.000873204	0.001791652	0.000405537	0
BHLHE40	0.592459211	0.521590523	0.455857731	0.724340766	0.965674319	0.560411715	0.576161777	0.571481082	0.641367483
ARL8B	0.563738702	0.769783611	0.585427648	0.657712995	0.908682731	0.747930084	0.525140881	0.696098992	0.689111155
AC026202.3	0.002761543	0.005527561	0.003076993	0.00551558	0.004372615	0.000692714	0.00314139	0.001736969	0.002339825
RP11.572B2.1	0.002610268	0.002327346	0.001356803	0.005013728	0.006321352	0.001316175	0.00265947	0.002803794	0.002167699
EDEM1	0.176616259	0.298297513	0.134118179	0.197396444	0.307358504	0.269504287	0.188524813	0.232333255	0.219558492
LMCD1	0.002962099	0.00158301	0.00323001	0.005785419	0.010009252	0.00247994	0.01150025	0.00208333	0.002315889
